"EffectMean","EffectLower","EffectUpper","Significant","Feature","Repeat","Fold","Dataset","Target"
0.0635590374427418,0.0142232156184707,0.191919191919192,"yes","X1",1,1,"forestfires","area"
0.0568662858832912,0.0129055395730619,0.182070707070707,"yes","X2",1,1,"forestfires","area"
0.0703827536855112,0.010515388196808,0.202272727272727,"yes","X3",1,1,"forestfires","area"
0.0664415775036123,0.0134258433589683,0.181818181818182,"yes","X1",1,2,"forestfires","area"
0.0610730487930903,0.0119702951557302,0.181818181818182,"yes","X2",1,2,"forestfires","area"
0.066329055192014,0.0112679358581599,0.191919191919192,"yes","X3",1,2,"forestfires","area"
0.0667988902260106,0.0159756020659086,0.191919191919192,"yes","X1",1,3,"forestfires","area"
0.0609411374757439,0.011952736173291,0.181818181818182,"yes","X2",1,3,"forestfires","area"
0.0690853760552984,0.0119702951557302,0.212121212121212,"yes","X3",1,3,"forestfires","area"
0.0718585548381027,0.0160024023743726,0.212121212121212,"yes","X1",1,4,"forestfires","area"
0.0575097832121961,0.0134391844816838,0.181818181818182,"yes","X2",1,4,"forestfires","area"
0.0674873902198991,0.0119702951557302,0.202020202020202,"yes","X3",1,4,"forestfires","area"
0.0673275251877064,0.0142232156184707,0.191919191919192,"yes","X1",1,5,"forestfires","area"
0.0624931012297446,0.0128821584626286,0.202020202020202,"yes","X2",1,5,"forestfires","area"
0.0695617377063511,0.0128821584626286,0.202020202020202,"yes","X3",1,5,"forestfires","area"
0.0693432442388018,0.0149303900358134,0.191919191919192,"yes","X1",1,6,"forestfires","area"
0.0634865027562857,0.0129055395730619,0.191919191919192,"yes","X2",1,6,"forestfires","area"
0.0699928045442878,0.010515388196808,0.212121212121212,"yes","X3",1,6,"forestfires","area"
0.0697018084293487,0.0159756020659086,0.212121212121212,"yes","X1",1,7,"forestfires","area"
0.061051287692665,0.0119702951557302,0.181818181818182,"yes","X2",1,7,"forestfires","area"
0.0735797618108406,0.0129055395730619,0.222222222222222,"yes","X3",1,7,"forestfires","area"
0.0619147499712019,0.0134391844816838,0.181818181818182,"yes","X1",1,8,"forestfires","area"
0.0564626475417518,0.0129055395730619,0.181818181818182,"yes","X2",1,8,"forestfires","area"
0.0646107204382204,0.0119702951557302,0.191919191919192,"yes","X3",1,8,"forestfires","area"
0.0689134498888634,0.0149303900358134,0.191919191919192,"yes","X1",1,9,"forestfires","area"
0.0582507633816809,0.0119702951557302,0.181818181818182,"yes","X2",1,9,"forestfires","area"
0.0712431373431429,0.0112491221666261,0.222222222222222,"yes","X3",1,9,"forestfires","area"
0.0630898157809254,0.0142232156184707,0.191919191919192,"yes","X1",1,10,"forestfires","area"
0.0555057285109539,0.0129055395730619,0.181818181818182,"yes","X2",1,10,"forestfires","area"
0.0682424749863788,0.0119702951557302,0.191919191919192,"yes","X3",1,10,"forestfires","area"
0.0655082022787369,0.0149303900358134,0.181818181818182,"yes","X1",2,1,"forestfires","area"
0.0608004239342566,0.0128821584626286,0.191919191919192,"yes","X2",2,1,"forestfires","area"
0.0676574299705648,0.0129055395730619,0.202020202020202,"yes","X3",2,1,"forestfires","area"
0.0643318816673204,0.0149303900358134,0.191919191919192,"yes","X1",2,2,"forestfires","area"
0.0588756673107816,0.0129055395730619,0.181818181818182,"yes","X2",2,2,"forestfires","area"
0.0663806038271313,0.0105097327460369,0.191919191919192,"yes","X3",2,2,"forestfires","area"
0.0658287639698663,0.0159756020659086,0.191919191919192,"yes","X1",2,3,"forestfires","area"
0.0572377423718317,0.0112679358581599,0.181818181818182,"yes","X2",2,3,"forestfires","area"
0.0725027285061388,0.010515388196808,0.202020202020202,"yes","X3",2,3,"forestfires","area"
0.0664209223065609,0.0142232156184707,0.191919191919192,"yes","X1",2,4,"forestfires","area"
0.0613891132549506,0.0112679358581599,0.191919191919192,"yes","X2",2,4,"forestfires","area"
0.0701666224046042,0.011952736173291,0.212121212121212,"yes","X3",2,4,"forestfires","area"
0.066270998644729,0.0160024023743726,0.191919191919192,"yes","X1",2,5,"forestfires","area"
0.06034715633842,0.0112679358581599,0.181818181818182,"yes","X2",2,5,"forestfires","area"
0.0693934684381863,0.0102891701659624,0.212121212121212,"yes","X3",2,5,"forestfires","area"
0.0702257004980686,0.0160024023743726,0.191919191919192,"yes","X1",2,6,"forestfires","area"
0.0621453823556974,0.011952736173291,0.191919191919192,"yes","X2",2,6,"forestfires","area"
0.0678223248583522,0.0112491221666261,0.191919191919192,"yes","X3",2,6,"forestfires","area"
0.0658406901881564,0.0149303900358134,0.191919191919192,"yes","X1",2,7,"forestfires","area"
0.0614851138720267,0.0134258433589683,0.191919191919192,"yes","X2",2,7,"forestfires","area"
0.0674500326687357,0.0119702951557302,0.212121212121212,"yes","X3",2,7,"forestfires","area"
0.0660439473203674,0.0142232156184707,0.202020202020202,"yes","X1",2,8,"forestfires","area"
0.0611602059797121,0.0129055395730619,0.191919191919192,"yes","X2",2,8,"forestfires","area"
0.0721256879602375,0.011952736173291,0.232828282828282,"yes","X3",2,8,"forestfires","area"
0.0649004351757093,0.0134391844816838,0.191919191919192,"yes","X1",2,9,"forestfires","area"
0.0621949849416389,0.0129055395730619,0.181818181818182,"yes","X2",2,9,"forestfires","area"
0.0665959045924761,0.0102891701659624,0.191919191919192,"yes","X3",2,9,"forestfires","area"
0.0679856120517263,0.0149303900358134,0.192171717171717,"yes","X1",2,10,"forestfires","area"
0.0613468957663615,0.0128821584626286,0.191919191919192,"yes","X2",2,10,"forestfires","area"
0.0725617031671265,0.0119702951557302,0.202272727272727,"yes","X3",2,10,"forestfires","area"
0.0691618367311412,0.0149303900358134,0.182070707070707,"yes","X1",3,1,"forestfires","area"
0.0616836313522079,0.0129055395730619,0.191919191919192,"yes","X2",3,1,"forestfires","area"
0.0694228764118024,0.010515388196808,0.22225976858164,"yes","X3",3,1,"forestfires","area"
0.0668855669192382,0.0142232156184707,0.191919191919192,"yes","X1",3,2,"forestfires","area"
0.0612107597370056,0.0112679358581599,0.181818181818182,"yes","X2",3,2,"forestfires","area"
0.0663402881256554,0.0134391844816838,0.202020202020202,"yes","X3",3,2,"forestfires","area"
0.0688507904574698,0.0159756020659086,0.192171717171717,"yes","X1",3,3,"forestfires","area"
0.0637768822580986,0.0129055395730619,0.191919191919192,"yes","X2",3,3,"forestfires","area"
0.0716499208838782,0.0102891701659624,0.22225976858164,"yes","X3",3,3,"forestfires","area"
0.0638839224632375,0.0142232156184707,0.192171717171717,"yes","X1",3,4,"forestfires","area"
0.0603539662141566,0.0112679358581599,0.191919191919192,"yes","X2",3,4,"forestfires","area"
0.0746591832297527,0.011952736173291,0.282828282828283,"yes","X3",3,4,"forestfires","area"
0.0712477620804874,0.0142232156184707,0.223939055492034,"yes","X1",3,5,"forestfires","area"
0.0634518920457555,0.0119702951557302,0.191919191919192,"yes","X2",3,5,"forestfires","area"
0.0723612945486548,0.0112679358581599,0.223724076598926,"yes","X3",3,5,"forestfires","area"
0.0626486995102283,0.0149127106753798,0.191919191919192,"yes","X1",3,6,"forestfires","area"
0.0593356507023223,0.0119702951557302,0.181818181818182,"yes","X2",3,6,"forestfires","area"
0.0649051614009628,0.0119702951557302,0.191919191919192,"yes","X3",3,6,"forestfires","area"
0.0730138170787854,0.0160024023743726,0.222222222222222,"yes","X1",3,7,"forestfires","area"
0.0594339572061787,0.011952736173291,0.181818181818182,"yes","X2",3,7,"forestfires","area"
0.0700335009180211,0.0128821584626286,0.202020202020202,"yes","X3",3,7,"forestfires","area"
0.0679325607288462,0.0175207902056019,0.202020202020202,"yes","X1",3,8,"forestfires","area"
0.0638151285692539,0.0119702951557302,0.202020202020202,"yes","X2",3,8,"forestfires","area"
0.0742818891492758,0.0105097327460369,0.212411283733155,"yes","X3",3,8,"forestfires","area"
0.0680100557294555,0.0159756020659086,0.191919191919192,"yes","X1",3,9,"forestfires","area"
0.0607837932513504,0.0134258433589683,0.191919191919192,"yes","X2",3,9,"forestfires","area"
0.0733933260217592,0.0112679358581599,0.2126218850342,"yes","X3",3,9,"forestfires","area"
0.0659495564348705,0.0149303900358134,0.191919191919192,"yes","X1",3,10,"forestfires","area"
0.0604197456579658,0.0112679358581599,0.191919191919192,"yes","X2",3,10,"forestfires","area"
0.068278088723397,0.0105097327460369,0.191919191919192,"yes","X3",3,10,"forestfires","area"
0.0658714671373632,0.0175597232269155,0.191919191919192,"yes","X1",4,1,"forestfires","area"
0.0650807722452052,0.0129055395730619,0.191919191919192,"yes","X2",4,1,"forestfires","area"
0.0689492190986911,0.010515388196808,0.191919191919192,"yes","X3",4,1,"forestfires","area"
0.0647211223377481,0.0159756020659086,0.182070707070707,"yes","X1",4,2,"forestfires","area"
0.058900203586968,0.0119702951557302,0.181818181818182,"yes","X2",4,2,"forestfires","area"
0.0698073762264203,0.010515388196808,0.212121212121212,"yes","X3",4,2,"forestfires","area"
0.0682304337608049,0.0134391844816838,0.212373737373737,"yes","X1",4,3,"forestfires","area"
0.0636840281365968,0.0134391844816838,0.191919191919192,"yes","X2",4,3,"forestfires","area"
0.0703990783305165,0.0105097327460369,0.212373737373737,"yes","X3",4,3,"forestfires","area"
0.067674628189415,0.0142232156184707,0.192171717171717,"yes","X1",4,4,"forestfires","area"
0.0651728592810878,0.0119702951557302,0.191919191919192,"yes","X2",4,4,"forestfires","area"
0.0753302335999799,0.0129055395730619,0.212121212121212,"yes","X3",4,4,"forestfires","area"
0.0659636773291939,0.0149303900358134,0.191919191919192,"yes","X1",4,5,"forestfires","area"
0.0630705827109791,0.0129055395730619,0.191919191919192,"yes","X2",4,5,"forestfires","area"
0.0717068689350326,0.0129055395730619,0.232323232323232,"yes","X3",4,5,"forestfires","area"
0.0720028726819366,0.0149303900358134,0.202020202020202,"yes","X1",4,6,"forestfires","area"
0.0624143415194074,0.0129055395730619,0.191919191919192,"yes","X2",4,6,"forestfires","area"
0.0686264724543666,0.0112491221666261,0.212121212121212,"yes","X3",4,6,"forestfires","area"
0.0724786888354781,0.0160024023743726,0.202272727272727,"yes","X1",4,7,"forestfires","area"
0.0608606190429098,0.0129055395730619,0.179676657299407,"yes","X2",4,7,"forestfires","area"
0.0697116819250405,0.0112679358581599,0.212121212121212,"yes","X3",4,7,"forestfires","area"
0.0702459172414253,0.0160024023743726,0.191919191919192,"yes","X1",4,8,"forestfires","area"
0.0610471966928276,0.0128821584626286,0.191919191919192,"yes","X2",4,8,"forestfires","area"
0.0691465259466433,0.011952736173291,0.212121212121212,"yes","X3",4,8,"forestfires","area"
0.063141243760253,0.014203614840051,0.181818181818182,"yes","X1",4,9,"forestfires","area"
0.0579234386696343,0.0129055395730619,0.181818181818182,"yes","X2",4,9,"forestfires","area"
0.0690870344010677,0.0105097327460369,0.202020202020202,"yes","X3",4,9,"forestfires","area"
0.0672619682579897,0.0134391844816838,0.191919191919192,"yes","X1",4,10,"forestfires","area"
0.0646307304092223,0.011952736173291,0.191919191919192,"yes","X2",4,10,"forestfires","area"
0.0687049546471277,0.0112679358581599,0.202020202020202,"yes","X3",4,10,"forestfires","area"
0.0688660025320122,0.0142232156184707,0.191919191919192,"yes","X1",5,1,"forestfires","area"
0.0582899028975539,0.0134258433589683,0.181818181818182,"yes","X2",5,1,"forestfires","area"
0.071103643230738,0.0119702951557302,0.202020202020202,"yes","X3",5,1,"forestfires","area"
