"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Repeat","Fold","Dataset","Target"
"sebart",0.026205483089354,0.0653894792781768,0.0594496081442188,50.52,0.849021276595745,0.091269162164625,0.797106382978723,0.0787378577261981,0.918808510638298,0.112491035393939,0.908595744680851,0.103348606301311,0.952,0.128820317018268,0.952510638297872,0.122349990543735,1,1,"parkinsons","DFA"
"bart",0.0226912409696527,0.0748336040231116,0.0683254383111165,11.101,0.304,0.0168798879315865,0.298042553191489,0.0166322059258701,0.381957446808511,0.0215019568314546,0.375489361702128,0.0212564928957781,0.435574468085106,0.0254041274408345,0.434042553191489,0.0251533003083142,1,1,"parkinsons","DFA"
