x,ale,Dataset,Target,Feature,Model
1.5,-0.241262410686247,Forestfires,area,X1,sebart
1.868421052631579,-0.367649854809353,Forestfires,area,X1,sebart
2.236842105263158,-1.16257365922965,Forestfires,area,X1,sebart
2.6052631578947367,-1.04816830736102,Forestfires,area,X1,sebart
2.973684210526316,-0.0385698686802199,Forestfires,area,X1,sebart
3.3421052631578947,0.0297215241941466,Forestfires,area,X1,sebart
3.7105263157894735,0.0248464819209739,Forestfires,area,X1,sebart
4.078947368421053,0.0343812384983759,Forestfires,area,X1,sebart
4.447368421052632,0.790884097564241,Forestfires,area,X1,sebart
4.815789473684211,2.71506238216928,Forestfires,area,X1,sebart
5.184210526315789,-7.94144037037721,Forestfires,area,X1,bart
5.552631578947368,-7.79591606964591,Forestfires,area,X1,bart
5.921052631578947,-7.29987248837966,Forestfires,area,X1,bart
6.289473684210526,-3.34521959680521,Forestfires,area,X1,bart
6.657894736842105,0.113389713502979,Forestfires,area,X1,bart
7.026315789473684,3.4064568591485,Forestfires,area,X1,bart
7.394736842105263,6.69952400479402,Forestfires,area,X1,bart
7.763157894736842,2.94563330805269,Forestfires,area,X1,bart
8.131578947368421,5.7788870809506,Forestfires,area,X1,bart
8.5,3.75928889854324,Forestfires,area,X1,bart
5e-07,-0.0603598290768721,Forestfires,area,X10,sebart
0.16842176315789473,-0.10293298202085,Forestfires,area,X10,sebart
0.3368430263157895,-0.10293298202085,Forestfires,area,X10,sebart
0.5052642894736842,-0.10293298202085,Forestfires,area,X10,sebart
0.6736855526315789,-0.10293298202085,Forestfires,area,X10,sebart
0.8421068157894737,-0.10293298202085,Forestfires,area,X10,sebart
1.0105280789473685,-0.10293298202085,Forestfires,area,X10,sebart
1.1789493421052633,-0.10293298202085,Forestfires,area,X10,sebart
1.347370605263158,-0.10293298202085,Forestfires,area,X10,sebart
1.5157918684210527,2.71904747883773,Forestfires,area,X10,sebart
1.6842131315789475,-0.0136190943769159,Forestfires,area,X10,bart
1.8526343947368422,-0.0136190943769159,Forestfires,area,X10,bart
2.021055657894737,-0.0136190943769159,Forestfires,area,X10,bart
2.189476921052632,-0.0136190943769159,Forestfires,area,X10,bart
2.3578981842105264,-0.0136190943769159,Forestfires,area,X10,bart
2.526319447368421,-0.0136190943769159,Forestfires,area,X10,bart
2.694740710526316,-0.0136190943769159,Forestfires,area,X10,bart
2.863161973684211,-0.0136190943769159,Forestfires,area,X10,bart
3.0315832368421054,-0.0136190943769159,Forestfires,area,X10,bart
3.2000045,1.99812580722841,Forestfires,area,X10,bart
2.5,-0.0881306776388382,Forestfires,area,X2,sebart
2.763157894736842,0.339246639368036,Forestfires,area,X2,sebart
3.026315789473684,0.237009189418261,Forestfires,area,X2,sebart
3.2894736842105265,0.258691699245598,Forestfires,area,X2,sebart
3.552631578947368,0.321436584054276,Forestfires,area,X2,sebart
3.8157894736842106,0.321436584054276,Forestfires,area,X2,sebart
4.078947368421053,0.102546594155286,Forestfires,area,X2,sebart
4.342105263157895,-0.114518110895219,Forestfires,area,X2,sebart
4.605263157894736,-0.123267716846625,Forestfires,area,X2,sebart
4.868421052631579,-1.23228977998721,Forestfires,area,X2,sebart
5.131578947368421,4.70451272759459,Forestfires,area,X2,bart
5.394736842105263,-4.43407865858972,Forestfires,area,X2,bart
5.657894736842105,-0.566790591539894,Forestfires,area,X2,bart
5.921052631578947,3.30049747550994,Forestfires,area,X2,bart
6.184210526315789,3.30049747550994,Forestfires,area,X2,bart
