"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Repeat","Fold","Dataset","Target"
"sebart",21.7001330011744,8.59593680170746,8.59546549186869,4.425,0.788461538461538,17.2704094794095,0.730769230769231,9.40644327894328,0.903846153846154,30.0553214840715,0.788461538461538,17.3647066822067,0.903846153846154,42.8532490773116,0.903846153846154,30.3784285159285,1,1,"forestfires","area"
"bart",116.443289995624,31.1670020866619,9.9243262873828,0.724,0.653846153846154,39.5949786007586,0.634615384615385,38.8751759428447,0.75,51.1146597260404,0.75,50.4397271402818,0.826923076923077,61.1293433040461,0.826923076923077,60.492807334646,1,1,"forestfires","area"
"sebart",10.5880511425591,3.48754016795455,3.33839338545454,4.423,0.961538461538462,20.3650192307692,0.903846153846154,10.6718434343434,0.980769230769231,32.5298378982129,0.961538461538462,20.5500524475525,0.980769230769231,47.6781159188034,0.980769230769231,32.8902972027972,1,2,"forestfires","area"
"bart",43.5318598588952,17.067690048103,7.48817215533466,0.719999999999999,0.788461538461538,48.5472916384859,0.826923076923077,47.6633607443909,0.884615384615385,62.3856547261399,0.865384615384615,61.6379480157081,0.884615384615385,74.8367427286851,0.884615384615385,73.8499769009536,1,2,"forestfires","area"
"sebart",24.8937750801907,7.39111927705905,7.29108969121212,4.193,0.903846153846154,18.8260984848485,0.884615384615385,10.319425019425,0.923076923076923,30.5144657148407,0.903846153846154,18.9292191142191,0.961538461538462,43.8486403943279,0.923076923076923,30.7909382284382,1,3,"forestfires","area"
"bart",37.4503878135511,20.4934858143655,12.1299908816165,0.718,0.788461538461538,52.8114264077246,0.769230769230769,51.7509946493813,0.865384615384615,68.3542644955893,0.846153846153846,66.9404618197551,0.865384615384615,81.7626448485107,0.865384615384615,80.6780653887158,1,3,"forestfires","area"
"sebart",49.5695718815485,16.6270606324087,16.7014810682828,4.213,0.769230769230769,15.2568185703186,0.75,9.10899766899767,0.807692307692308,25.2443648018648,0.769230769230769,15.398412975913,0.865384615384615,37.2512198912199,0.807692307692308,25.5903360528361,1,4,"forestfires","area"
"bart",51.5997549317831,20.3124193607217,18.7131337789869,0.669,0.711538461538462,44.7087776961938,0.75,43.7156935867862,0.769230769230769,57.3325495516962,0.788461538461538,56.1848038268709,0.826923076923077,67.4943149739874,0.846153846153846,66.6542992677058,1,4,"forestfires","area"
"sebart",109.523713575365,26.0017720071193,26.0304862418687,4.204,0.826923076923077,16.96785003885,0.75,9.5914393939394,0.865384615384615,28.4130569153069,0.826923076923077,17.05385003885,0.903846153846154,41.2167779234654,0.865384615384615,28.9422261072261,1,5,"forestfires","area"
"bart",118.485650225039,35.8627140787802,27.3072038588389,0.739999999999998,0.730769230769231,34.3660229218935,0.711538461538462,33.3244403959763,0.769230769230769,45.1332887980763,0.75,44.1739426216172,0.769230769230769,55.3165152190191,0.769230769230769,53.9797326936556,1,5,"forestfires","area"
"sebart",29.0709812156151,8.25982639154429,8.22600659656566,5.027,0.903846153846154,19.2788764568765,0.826923076923077,10.5652059052059,0.923076923076923,32.4685068958819,0.903846153846154,19.5591317016317,0.961538461538462,45.9553886460762,0.923076923076923,32.695168997669,1,6,"forestfires","area"
"bart",49.2282275698684,22.2767089036118,10.6547683659378,0.780000000000001,0.576923076923077,39.4434422814333,0.557692307692308,38.6771830628334,0.692307692307692,54.1499211973949,0.692307692307692,50.3305724213081,0.75,63.8213187775513,0.75,63.1952189073105,1,6,"forestfires","area"
"sebart",8.08565510027741,3.07152199628205,2.99788648010101,4.478,0.961538461538462,18.9396138306138,0.884615384615385,10.0644405594406,0.980769230769231,31.170181041181,0.961538461538462,19.1538830613831,1,44.2803376554002,0.980769230769231,31.5729234654235,1,7,"forestfires","area"
"bart",54.5824514832888,19.0057439735533,6.51499100257673,0.674,0.807692307692308,54.6636397770859,0.826923076923077,53.9059482571729,0.846153846153846,69.8130606013081,0.846153846153846,68.8750730325226,0.923076923076923,82.5044190620716,0.923076923076923,81.8514499284506,1,7,"forestfires","area"
"sebart",17.9727235636646,6.82648777209207,6.81440173464647,4.919,0.865384615384615,18.3922364024864,0.807692307692308,9.83826534576535,0.903846153846154,30.3324744560995,0.884615384615385,18.5689898989899,0.961538461538462,44.8205101495726,0.903846153846154,30.6780710955711,1,8,"forestfires","area"
"bart",26.8685108604321,14.3607307407113,10.853656639232,0.734000000000002,0.923076923076923,73.6437175790671,0.884615384615385,72.7687220196507,0.942307692307692,95.0482650590673,0.942307692307692,94.1523430394034,0.961538461538462,114.481114132548,0.961538461538462,113.217774133565,1,8,"forestfires","area"
"sebart",152.978962585801,27.625112184528,27.6043917105556,4.248,0.884615384615385,18.713216977467,0.846153846153846,10.0246328671329,0.942307692307692,30.7552980769231,0.884615384615385,18.8493201243201,0.942307692307692,43.8586778360528,0.942307692307692,31.1277486402487,1,9,"forestfires","area"
"bart",154.107403527799,36.0532829753345,30.6780963102812,0.676000000000002,0.788461538461538,48.3889308380797,0.788461538461538,47.6130518352053,0.846153846153846,62.2943761114589,0.846153846153846,61.411009855794,0.865384615384615,74.2675418973722,0.865384615384615,73.3482656515001,1,9,"forestfires","area"
"sebart",18.5234422576698,7.50074234431664,7.51221432474748,5.407,0.857142857142857,17.9496349206349,0.857142857142857,9.89793650793651,0.877551020408163,29.3660177283034,0.857142857142857,18.0061451247166,0.897959183673469,42.490635126778,0.877551020408163,29.5184642341785,1,10,"forestfires","area"
"bart",31.0273316565656,15.3978246974897,10.0907675537631,0.703000000000003,0.857142857142857,48.7152607758804,0.857142857142857,47.7628139418814,0.857142857142857,62.9219603843383,0.857142857142857,62.0864172762978,0.857142857142857,76.4566924887419,0.857142857142857,75.6076376621383,1,10,"forestfires","area"
