"x","ale","Dataset","Target","Feature","Model"
577.5,5.74759661723766,"Forestfires","area","X5","bart"
638.6,11.2712530137513,"Forestfires","area","X5","bart"
674.7,11.0705555958213,"Forestfires","area","X5","bart"
692.4,10.4961539669567,"Forestfires","area","X5","bart"
714.1,-0.422095937914726,"Forestfires","area","X5","bart"
743.35,-17.0595953465525,"Forestfires","area","X5","bart"
809.35,-26.0097850873027,"Forestfires","area","X5","bart"
1.9,0.0870067096763354,"Forestfires","area","X6","sebart"
5,0.548506670244936,"Forestfires","area","X6","sebart"
6.6,0.631080948346836,"Forestfires","area","X6","sebart"
7.25,0.693951920727451,"Forestfires","area","X6","sebart"
7.95,0.652224016143982,"Forestfires","area","X6","sebart"
8.8,0.339461086396052,"Forestfires","area","X6","sebart"
9.55,-0.248509693649728,"Forestfires","area","X6","sebart"
11.05,-0.793740439570475,"Forestfires","area","X6","sebart"
13.25,-1.06057344504899,"Forestfires","area","X6","sebart"
35.2,-0.271244682850735,"Forestfires","area","X6","sebart"
1.9,1.61805420445928,"Forestfires","area","X6","bart"
5,1.86135938879987,"Forestfires","area","X6","bart"
6.6,2.4137123790497,"Forestfires","area","X6","bart"
7.25,2.24069655936583,"Forestfires","area","X6","bart"
7.95,1.80085994764942,"Forestfires","area","X6","bart"
8.8,-0.0324831049334289,"Forestfires","area","X6","bart"
9.55,-1.73369034530343,"Forestfires","area","X6","bart"
11.05,-2.91726645834796,"Forestfires","area","X6","bart"
13.25,-3.91862651637517,"Forestfires","area","X6","bart"
35.2,8.63566400249564,"Forestfires","area","X6","bart"
6.7,1.85245237402642,"Forestfires","area","X7","sebart"
12.8,-0.271883871729535,"Forestfires","area","X7","sebart"
15.5,-0.871905937825127,"Forestfires","area","X7","sebart"
17.25,-1.06403766147395,"Forestfires","area","X7","sebart"
18.6,-0.784077122189561,"Forestfires","area","X7","sebart"
19.95,-0.442720722973566,"Forestfires","area","X7","sebart"
21.2,-0.0858510176070926,"Forestfires","area","X7","sebart"
22.7,0.147484102442612,"Forestfires","area","X7","sebart"
24.85,0.551905554648105,"Forestfires","area","X7","sebart"
