"x","ale","Scenario","Feature","Model"
1.2590996537055,-1.69142131462637,"Sigmoid","X2","sebart"
1.55684705695394,-1.62037247351017,"Sigmoid","X2","sebart"
2.4489181578821,-1.09308784859785,"Sigmoid","X2","sebart"
-2.28489619670749,0.811425010387287,"Sigmoid","X2","bart"
-1.54058154720162,1.00691549638668,"Sigmoid","X2","bart"
-1.27668242255551,1.16754966137237,"Sigmoid","X2","bart"
-1.10103331453181,1.3789924100933,"Sigmoid","X2","bart"
-0.964284352084597,1.2489611348398,"Sigmoid","X2","bart"
-0.79989770769451,0.878601697058721,"Sigmoid","X2","bart"
-0.654890888240096,0.263161652437821,"Sigmoid","X2","bart"
-0.496741981847886,-0.630055112379667,"Sigmoid","X2","bart"
-0.314627045570808,-1.22920254469058,"Sigmoid","X2","bart"
-0.178682672348962,-1.20810407465205,"Sigmoid","X2","bart"
-0.0464074791434762,-0.650514037603305,"Sigmoid","X2","bart"
0.150674228249957,-0.0106751265206479,"Sigmoid","X2","bart"
0.32556742079639,0.530061612837915,"Sigmoid","X2","bart"
0.440865344310794,0.820908435065767,"Sigmoid","X2","bart"
0.551823302461393,0.649300777782187,"Sigmoid","X2","bart"
0.762765507500627,-0.158830893494867,"Sigmoid","X2","bart"
1.03463556475272,-1.24047279842561,"Sigmoid","X2","bart"
1.2590996537055,-1.8036042297086,"Sigmoid","X2","bart"
1.55684705695394,-0.994139374309581,"Sigmoid","X2","bart"
2.4489181578821,-0.830279696476931,"Sigmoid","X2","bart"
-2.28489619670749,-1.48713322486272,"Sigmoid","X2","truth"
-1.54058154720162,-0.768280914920323,"Sigmoid","X2","truth"
-1.27668242255551,0.202975209241734,"Sigmoid","X2","truth"
-1.10103331453181,1.08406228428107,"Sigmoid","X2","truth"
-0.964284352084597,1.08718970818205,"Sigmoid","X2","truth"
-0.79989770769451,1.1001870749647,"Sigmoid","X2","truth"
-0.654890888240096,1.16180650650591,"Sigmoid","X2","truth"
-0.496741981847886,0.263532093391798,"Sigmoid","X2","truth"
-0.314627045570808,-0.37236224556628,"Sigmoid","X2","truth"
-0.178682672348962,-0.093163772717316,"Sigmoid","X2","truth"
-0.0464074791434762,0.523366247631623,"Sigmoid","X2","truth"
0.150674228249957,0.673839615240526,"Sigmoid","X2","truth"
0.32556742079639,0.295483765298743,"Sigmoid","X2","truth"
0.440865344310794,0.0505740167654173,"Sigmoid","X2","truth"
0.551823302461393,-0.268217901653911,"Sigmoid","X2","truth"
0.762765507500627,-1.35129979496844,"Sigmoid","X2","truth"
1.03463556475272,-2.25333388568515,"Sigmoid","X2","truth"
1.2590996537055,-1.35213244541173,"Sigmoid","X2","truth"
1.55684705695394,0.3827495975962,"Sigmoid","X2","truth"
2.4489181578821,1.12015806668609,"Sigmoid","X2","truth"
-2.35207762760333,1.37464835295878,"Sigmoid","X3","sebart"
-1.57784762777355,1.373744009775,"Sigmoid","X3","sebart"
-1.19664816373503,1.334871550211,"Sigmoid","X3","sebart"
-0.916353998164215,1.20600404526153,"Sigmoid","X3","sebart"
-0.746906569956908,0.961254422767656,"Sigmoid","X3","sebart"
-0.574772006112515,0.703269730780967,"Sigmoid","X3","sebart"
-0.412942888547301,0.475518044643501,"Sigmoid","X3","sebart"
-0.280571472506228,0.107377519680247,"Sigmoid","X3","sebart"
-0.16603826062154,-0.146165463636188,"Sigmoid","X3","sebart"
-0.0692304146150803,-0.259095248136491,"Sigmoid","X3","sebart"
0.0469510040004494,-0.649105626504139,"Sigmoid","X3","sebart"
0.201621395009593,-1.09172633868689,"Sigmoid","X3","sebart"
0.336254921912645,-1.35497849067452,"Sigmoid","X3","sebart"
0.440194703849344,-1.46829760253202,"Sigmoid","X3","sebart"
0.583287692744984,-1.41586631449551,"Sigmoid","X3","sebart"
0.704873384251663,-1.18242725124313,"Sigmoid","X3","sebart"
0.904343301866812,-0.711908304536827,"Sigmoid","X3","sebart"
1.16067259948878,-0.267573194871826,"Sigmoid","X3","sebart"
1.47528769112692,0.235690786404528,"Sigmoid","X3","sebart"
2.02143779420995,0.774765372834321,"Sigmoid","X3","sebart"
-2.35207762760333,1.2801824883017,"Sigmoid","X3","bart"
-1.57784762777355,1.34741998531013,"Sigmoid","X3","bart"
-1.19664816373503,1.29016500904215,"Sigmoid","X3","bart"
-0.916353998164215,1.19463678757325,"Sigmoid","X3","bart"
-0.746906569956908,1.08209167470524,"Sigmoid","X3","bart"
-0.574772006112515,0.943871992865128,"Sigmoid","X3","bart"
-0.412942888547301,0.702995688747022,"Sigmoid","X3","bart"
-0.280571472506228,0.387567413839066,"Sigmoid","X3","bart"
-0.16603826062154,0.151836513970085,"Sigmoid","X3","bart"
-0.0692304146150803,-0.0990712421817827,"Sigmoid","X3","bart"
0.0469510040004494,-0.614526881517674,"Sigmoid","X3","bart"
0.201621395009593,-1.13809440803222,"Sigmoid","X3","bart"
0.336254921912645,-1.35350636630624,"Sigmoid","X3","bart"
0.440194703849344,-1.39050525462992,"Sigmoid","X3","bart"
0.583287692744984,-1.35530995017638,"Sigmoid","X3","bart"
0.704873384251663,-1.21044152660384,"Sigmoid","X3","bart"
0.904343301866812,-0.853307197090174,"Sigmoid","X3","bart"
1.16067259948878,-0.454967087403223,"Sigmoid","X3","bart"
1.47528769112692,-0.0883836503967159,"Sigmoid","X3","bart"
2.02143779420995,0.177346009984423,"Sigmoid","X3","bart"
-2.35207762760333,1.65874298970624,"Sigmoid","X3","truth"
-1.57784762777355,1.65874298970624,"Sigmoid","X3","truth"
-1.19664816373503,1.65874298970624,"Sigmoid","X3","truth"
-0.916353998164215,1.09918394547746,"Sigmoid","X3","truth"
-0.746906569956908,0.623933641307025,"Sigmoid","X3","truth"
-0.574772006112515,0.213954722180041,"Sigmoid","X3","truth"
-0.412942888547301,-0.128313820962368,"Sigmoid","X3","truth"
-0.280571472506228,-0.359667776085894,"Sigmoid","X3","truth"
-0.16603826062154,-0.536005693783272,"Sigmoid","X3","truth"
-0.0692304146150803,-0.659011687741382,"Sigmoid","X3","truth"
0.0469510040004494,-0.782080616920519,"Sigmoid","X3","truth"
0.201621395009593,-0.8976272500904,"Sigmoid","X3","truth"
0.336254921912645,-0.943715455677771,"Sigmoid","X3","truth"
0.440194703849344,-0.943715455677771,"Sigmoid","X3","truth"
0.583287692744984,-0.943715455677771,"Sigmoid","X3","truth"
0.704873384251663,-0.943715455677771,"Sigmoid","X3","truth"
0.904343301866812,-0.803551032968113,"Sigmoid","X3","truth"
1.16067259948878,-0.534992263200168,"Sigmoid","X3","truth"
1.47528769112692,0.0390657144997887,"Sigmoid","X3","truth"
2.02143779420995,1.52374497188016,"Sigmoid","X3","truth"
-2.44997902668468,-2.32168185879133,"Sigmoid","X4","sebart"
-1.57888020996883,-1.62115660105012,"Sigmoid","X4","sebart"
-1.30823571093556,-1.33563471284554,"Sigmoid","X4","sebart"
-1.02791275176721,-1.09176421420545,"Sigmoid","X4","sebart"
-0.807322836710381,-0.85944106956529,"Sigmoid","X4","sebart"
-0.623614878222752,-0.588136699110085,"Sigmoid","X4","sebart"
-0.448378045647911,-0.389449839120607,"Sigmoid","X4","sebart"
-0.290045819333205,-0.0837716672209807,"Sigmoid","X4","sebart"
-0.194574019029829,0.173551681498038,"Sigmoid","X4","sebart"
-0.0714792066757858,0.375448258350116,"Sigmoid","X4","sebart"
0.0712437259498663,0.533525232385368,"Sigmoid","X4","sebart"
0.186637612319446,0.516434085293516,"Sigmoid","X4","sebart"
0.311961398102608,0.5285938847952,"Sigmoid","X4","sebart"
0.417277528410498,0.559040942941537,"Sigmoid","X4","sebart"
0.55162584358779,0.606516900965139,"Sigmoid","X4","sebart"
0.718676769883294,0.771124070845434,"Sigmoid","X4","sebart"
0.900439460457772,0.950800654430436,"Sigmoid","X4","sebart"
1.1193828381021,1.04629334487888,"Sigmoid","X4","sebart"
1.50096821059695,1.09113763897571,"Sigmoid","X4","sebart"
2.29372909588597,1.13856996655002,"Sigmoid","X4","sebart"
-2.44997902668468,-1.84248693770129,"Sigmoid","X4","bart"
-1.57888020996883,-1.62419457016795,"Sigmoid","X4","bart"
-1.30823571093556,-1.44730214009462,"Sigmoid","X4","bart"
-1.02791275176721,-1.26111495022471,"Sigmoid","X4","bart"
-0.807322836710381,-1.02757002761928,"Sigmoid","X4","bart"
-0.623614878222752,-0.766887147770792,"Sigmoid","X4","bart"
-0.448378045647911,-0.500821245067093,"Sigmoid","X4","bart"
-0.290045819333205,-0.145174311788097,"Sigmoid","X4","bart"
-0.194574019029829,0.11184819000017,"Sigmoid","X4","bart"
-0.0714792066757858,0.319629481284308,"Sigmoid","X4","bart"
0.0712437259498663,0.494726010438254,"Sigmoid","X4","bart"
0.186637612319446,0.548361329996439,"Sigmoid","X4","bart"
0.311961398102608,0.599877366167338,"Sigmoid","X4","bart"
0.417277528410498,0.650885409758441,"Sigmoid","X4","bart"
0.55162584358779,0.728493389247893,"Sigmoid","X4","bart"
