"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,200,"raw",12.4683011617523,1.00813778138979,-0.0702960292090408,-0.34843572497684,0.25748234083109
"sigmoid",1,200,"raw",14.2426818841646,1.81154292284547,-0.0464692406634383,-0.31756183068008,0.275015450365213
"sigmoid",1,200,"raw",15.8157672054088,2.6593680047458,-0.0241236460387436,-0.287466989056293,0.299078774887203
"sigmoid",1,200,"raw",16.0716242945543,2.81765843379741,-0.000903091708705429,-0.263181455137781,0.318519831141727
"sigmoid",1,200,"raw",16.3894955524768,3.02558623156244,0.02113800311728,-0.239169232790948,0.347065634650227
"sigmoid",1,200,"raw",16.4273068424637,3.05125060857717,0.0433358050686577,-0.21047824990164,0.370232289912144
"sigmoid",1,200,"raw",16.751911443853,3.28089136211988,0.0654568851629472,-0.182113733672828,0.385851408078919
"sigmoid",1,200,"raw",16.96787684344,3.44411774639333,0.0864368419750039,-0.165519534598579,0.407776032809153
"sigmoid",1,200,"raw",17.0057965919443,3.47375207936355,0.106072512772353,-0.140907341565647,0.428814423116338
"sigmoid",1,200,"raw",17.2804807318245,3.69824491614285,0.124952590972902,-0.11792537553619,0.459376143002016
"sigmoid",1,200,"raw",17.3889180250649,3.79213684597852,0.144162419439979,-0.0909005641153625,0.471300048766306
"sigmoid",1,200,"raw",17.4409355315828,3.83835662046273,0.16166122037353,-0.069702989917991,0.495583714900581
"sigmoid",1,200,"raw",17.5705809988685,3.95714766947334,0.178339046455051,-0.0551591543731087,0.514735529921369
"sigmoid",1,200,"raw",17.7275393687703,4.10851220807876,0.193900122725292,-0.0444180938212762,0.533404330574868
"sigmoid",1,200,"raw",17.8455625248899,4.22845044445071,0.210375591017839,-0.027360594728202,0.553408401682236
"sigmoid",1,200,"raw",18.0259578249785,4.4234590288242,0.225406153773164,-0.012913602268912,0.579458113585691
"sigmoid",1,200,"raw",18.1687633290815,4.5894246077483,0.239376269255168,0.00348995698171547,0.586399105109749
"sigmoid",1,200,"raw",18.7184752041609,5.36292079850688,0.252896132839492,0.0128233728770932,0.60141489728879
"sigmoid",1,200,"raw",18.8129983450161,5.52623504474894,0.26722352004158,0.0223290383815025,0.62543188914115
"sigmoid",1,200,"raw",19.0310455269797,5.95521854489605,0.279928709570191,0.0454995752158467,0.638637225197969
"sigmoid",1,200,"raw",19.2201685263002,6.40927522756689,0.291953645443093,0.0549301939798127,0.663044925401629
"sigmoid",1,200,"raw",19.3728093257726,6.86075036148824,0.303475776242446,0.064293895374291,0.68206951274963
"sigmoid",1,200,"raw",19.4334700699568,7.07044441500134,0.314553753462364,0.077524441803301,0.695256353347281
"sigmoid",1,200,"raw",19.4709507311791,7.21119472890864,0.324987139496509,0.0891454589567793,0.712020406035376
"sigmoid",1,200,"raw",19.6780444718536,8.22569074948401,0.334715396039765,0.0979234637307802,0.729717704885978
"sigmoid",1,200,"raw",19.6851902369715,8.27130667578772,0.344648466767929,0.107145092621882,0.737455661247531
"sigmoid",1,200,"raw",19.6875050948258,8.28630257750376,0.353581558621656,0.116740576731531,0.756113630932497
"sigmoid",1,200,"raw",19.6914677583654,8.31222872667882,0.362534325572581,0.125689205830825,0.772751273636884
