"x","ale","Scenario","Feature","Model"
0.150674228249957,0.577512159562015,"Sigmoid","X2","oracle"
0.32556742079639,0.0254690932359685,"Sigmoid","X2","oracle"
0.440865344310794,-0.746358924587614,"Sigmoid","X2","oracle"
0.551823302461393,-1.54361847457047,"Sigmoid","X2","oracle"
0.762765507500627,-1.7021495170178,"Sigmoid","X2","oracle"
1.03463556475272,-1.17253045611022,"Sigmoid","X2","oracle"
1.2590996537055,0.74641609302725,"Sigmoid","X2","oracle"
1.55684705695394,3.19501745327635,"Sigmoid","X2","oracle"
2.4489181578821,3.2923805150954,"Sigmoid","X2","oracle"
-2.35207762760333,6.48405886159748,"Sigmoid","X3","sebart"
-1.57784762777355,6.47948914897278,"Sigmoid","X3","sebart"
-1.19664816373503,6.31359621087433,"Sigmoid","X3","sebart"
-0.916353998164215,5.57918228091254,"Sigmoid","X3","sebart"
-0.746906569956908,4.30981171728861,"Sigmoid","X3","sebart"
-0.574772006112515,3.02938406198329,"Sigmoid","X3","sebart"
-0.412942888547301,1.69815844782703,"Sigmoid","X3","sebart"
-0.280571472506228,0.157267492164882,"Sigmoid","X3","sebart"
-0.16603826062154,-0.722657321188499,"Sigmoid","X3","sebart"
-0.0692304146150803,-1.22132046955452,"Sigmoid","X3","sebart"
0.0469510040004494,-2.81782287021751,"Sigmoid","X3","sebart"
0.201621395009593,-4.85160550412986,"Sigmoid","X3","sebart"
0.336254921912645,-6.10370920702109,"Sigmoid","X3","sebart"
0.440194703849344,-6.46978950731163,"Sigmoid","X3","sebart"
0.583287692744984,-6.31434876458446,"Sigmoid","X3","sebart"
0.704873384251663,-5.47761859468076,"Sigmoid","X3","sebart"
0.904343301866812,-3.35233051863757,"Sigmoid","X3","sebart"
1.16067259948878,-0.952392358508376,"Sigmoid","X3","sebart"
1.47528769112692,1.48321162182976,"Sigmoid","X3","sebart"
2.02143779420995,3.84023171762412,"Sigmoid","X3","sebart"
-2.35207762760333,3.41611665661616,"Sigmoid","X3","bart"
-1.57784762777355,3.61196015114022,"Sigmoid","X3","bart"
-1.19664816373503,3.44537600682058,"Sigmoid","X3","bart"
-0.916353998164215,3.18526153568653,"Sigmoid","X3","bart"
-0.746906569956908,2.88226786713128,"Sigmoid","X3","bart"
-0.574772006112515,2.49328995613949,"Sigmoid","X3","bart"
-0.412942888547301,1.92817197891953,"Sigmoid","X3","bart"
-0.280571472506228,1.06267607601916,"Sigmoid","X3","bart"
-0.16603826062154,0.36632690885839,"Sigmoid","X3","bart"
-0.0692304146150803,-0.306165329001554,"Sigmoid","X3","bart"
0.0469510040004494,-1.71847694283619,"Sigmoid","X3","bart"
0.201621395009593,-3.05389966813263,"Sigmoid","X3","bart"
0.336254921912645,-3.56988503540755,"Sigmoid","X3","bart"
0.440194703849344,-3.65521609766287,"Sigmoid","X3","bart"
0.583287692744984,-3.50674175281349,"Sigmoid","X3","bart"
0.704873384251663,-3.08309722710158,"Sigmoid","X3","bart"
0.904343301866812,-2.14956937798189,"Sigmoid","X3","bart"
1.16067259948878,-1.14491613668746,"Sigmoid","X3","bart"
1.47528769112692,-0.278272636520195,"Sigmoid","X3","bart"
2.02143779420995,0.410136211749952,"Sigmoid","X3","bart"
-2.35207762760333,5.34786815730324,"Sigmoid","X3","oracle"
-1.57784762777355,5.34786815708822,"Sigmoid","X3","oracle"
-1.19664816373503,5.3478639478215,"Sigmoid","X3","oracle"
-0.916353998164215,5.34074106589553,"Sigmoid","X3","oracle"
-0.746906569956908,4.70934212270582,"Sigmoid","X3","oracle"
-0.574772006112515,3.94813392903973,"Sigmoid","X3","oracle"
-0.412942888547301,3.2035618532463,"Sigmoid","X3","oracle"
-0.280571472506228,1.47908234425346,"Sigmoid","X3","oracle"
-0.16603826062154,-0.384764418020563,"Sigmoid","X3","oracle"
-0.0692304146150803,-1.49941022244922,"Sigmoid","X3","oracle"
