"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"almost_linear",1,50,-2.47838557994494,-4.53508688924634,-1.85100348997703,-2.44315235848413,-1.32416180290488
"almost_linear",1,50,-2.18526582642533,-3.2259251042454,-1.54749831891268,-2.01824284934675,-1.1144061247493
"almost_linear",1,50,-1.96906380384023,-2.69579472233968,-1.36331916958614,-1.7665701198808,-0.979285826430763
"almost_linear",1,50,-1.56928888002646,-1.94924415927209,-1.23801896886188,-1.61737587220014,-0.86711627780587
"almost_linear",1,50,-1.33697875489265,-1.58969027050716,-1.13199961028347,-1.48300832160291,-0.767703828779367
"almost_linear",1,50,1.47324720009036,1.30336989243878,-1.03772498500047,-1.3617957821387,-0.695371639493345
"almost_linear",1,50,1.6305201792225,1.42691230624979,-0.958718350136151,-1.28263214746301,-0.621679277776734
"almost_linear",1,50,2.77290578135471,2.26147766047291,-0.890475136771631,-1.20553860612719,-0.57759974395992
"almost_linear",1,50,6.23720454296958,4.34730150523111,-0.826778825476698,-1.12609670994792,-0.522339469471096
"almost_linear",1,50,6.26880309785859,4.36418875175986,-0.766081930508145,-1.06760343453811,-0.468963290673249
"almost_linear",1,50,6.56808833519729,4.52265106742723,-0.714320651439256,-1.00103136756331,-0.430270666885759
"almost_linear",1,50,7.92193607400728,5.20878840705756,-0.662407337243229,-0.933624290098393,-0.397329691434401
"almost_linear",1,50,8.91740375975673,5.68522520106934,-0.617981917506358,-0.894610210636297,-0.349649013968948
"almost_linear",1,50,9.35992298617737,5.89032735328804,-0.574343054277723,-0.842057473810868,-0.311653868650993
"almost_linear",1,50,9.50744675301697,5.95784958512252,-0.536980694446251,-0.781453756817471,-0.278929530808946
"almost_linear",1,50,11.8777271996877,6.99071607523407,-0.496483226425905,-0.734330204054638,-0.233380752285831
"almost_linear",1,50,16.8454126757645,8.90877876586026,-0.462920821324187,-0.699837076842234,-0.194126046094524
"almost_linear",1,50,17.4484374265079,9.12389373597377,-0.432243160748522,-0.668774117428498,-0.157747560208536
