"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"sigmoid",93,200,-30.0157422825748,268.151269021484
"sigmoid",94,200,-35.2180849382513,312.338276509673
"sigmoid",95,200,-37.3753670949677,308.090882758211
"sigmoid",96,200,-40.4229810527077,383.111902022163
"sigmoid",97,200,-36.8594702361368,441.121901573019
"sigmoid",98,200,-31.8404045945191,225.02270168464
"sigmoid",99,200,-32.5368770501323,265.420110567973
"sigmoid",100,200,-34.0779423760632,345.014675506085
"beta",1,200,-37.7510048018816,260.755926955688
"beta",2,200,-31.4416169975368,266.553620707865
"beta",3,200,-36.5262248344667,243.182561573299
"beta",4,200,-38.646985129507,390.366390340316
"beta",5,200,-36.5956525163179,318.12994792656
"beta",6,200,-32.5059756243892,268.778157205213
"beta",7,200,-41.4926109994977,249.787235050681
"beta",8,200,-39.2468613223279,290.442871183023
"beta",9,200,-39.1332279246601,263.546884229976
"beta",10,200,-31.4384630079983,300.492400858365
"beta",11,200,-40.9981541902498,262.795906863909
"beta",12,200,-36.9274833742309,398.476681308944
"beta",13,200,-33.1030903233325,436.493131440618
"beta",14,200,-30.4573569811799,377.48168303359
"beta",15,200,-33.3932493154261,222.340027706491
"beta",16,200,-41.7255625452157,275.320923524504
"beta",17,200,-41.7990503907696,245.215306097533
"beta",18,200,-49.6238595343947,297.116864489031
"beta",19,200,-36.8164487829562,273.940189211856
"beta",20,200,-30.4901665988826,337.91626584946
"beta",21,200,-42.0555722131153,283.229649325036
"beta",22,200,-40.8223661778184,276.816696358506
"beta",23,200,-43.3764575171392,301.240736244393
"beta",24,200,-38.9008341117154,244.027350642939
"beta",25,200,-41.8558968969573,296.342376085005
"beta",26,200,-39.1435976537576,277.517921480115
"beta",27,200,-38.192623771887,220.086000965418
"beta",28,200,-29.9969284000556,241.65982740095
"beta",29,200,-36.5838546222762,270.552764646252
"beta",30,200,-34.0891259160552,395.543432973709
"beta",31,200,-36.9621208007406,310.492096023888
"beta",32,200,-39.0825646097708,255.426056146228
"beta",33,200,-39.6748584293591,307.295268741379
"beta",34,200,-36.8324044293843,267.094815216079
"beta",35,200,-45.0504584348911,282.307491443369
"beta",36,200,-38.0535091769977,262.780075502549
"beta",37,200,-30.5605649501129,224.091215532562
"beta",38,200,-35.9787525235743,295.741161520586
"beta",39,200,-53.5298962604279,275.860618031185
"beta",40,200,-35.2228618462818,265.619025951253
"beta",41,200,-42.4680730520284,248.935785357884
"beta",42,200,-29.9542958374858,272.469777083991
"beta",43,200,-35.8552464536764,256.853780367532
"beta",44,200,-40.5836006686574,219.638622394611
"beta",45,200,-32.19949883517,339.232213472988
"beta",46,200,-37.4246013318435,278.840451374629
"beta",47,200,-36.906782086145,351.284457222587
"beta",48,200,-38.1932775431312,306.286697435514
"beta",49,200,-33.6510551374164,352.58604797255
"beta",50,200,-31.4732076932396,283.424331078105
"beta",51,200,-35.9759857769508,265.623914987201
"beta",52,200,-37.6390844756508,254.989007907187
"beta",53,200,-40.1894321807536,307.044068820662
"beta",54,200,-43.5401185777738,464.849966654697
"beta",55,200,-34.3089094224067,290.855271294017
"beta",56,200,-39.2499977108078,311.093085371562
"beta",57,200,-31.1213199820786,266.82872417153
"beta",58,200,-36.792439419755,317.437306836315
"beta",59,200,-31.6512355061861,309.663587690247
"beta",60,200,-29.932155665233,258.18253761008
"beta",61,200,-39.6562088102565,276.896529527167
"beta",62,200,-27.3085351384572,309.602529496371
"beta",63,200,-32.7337658990554,275.770283931535
"beta",64,200,-39.4529528656023,216.233408064028
"beta",65,200,-35.1152749160534,222.21237237133
"beta",66,200,-41.5656240133745,301.361503155237
"beta",67,200,-42.636881188417,303.734060281736
"beta",68,200,-38.2760355090911,335.572460293199
"beta",69,200,-39.6937542701705,211.838475757535
"beta",70,200,-38.0735885499523,336.730164010039
"beta",71,200,-33.7841763682937,242.361309204526
"beta",72,200,-32.6311550271643,241.465037567839
"beta",73,200,-37.3533684163888,246.222255146126
"beta",74,200,-34.1507446221314,331.922498001424
"beta",75,200,-34.6072470612398,294.549883523669
"beta",76,200,-34.3823200925011,228.023434409519
"beta",77,200,-34.9498294339795,210.653726491962
"beta",78,200,-32.0108696615897,360.191891098235
"beta",79,200,-40.4955252656698,284.11838017458
"beta",80,200,-33.4582472356618,263.445138276291
"beta",81,200,-36.3711625520556,227.758772261378
"beta",82,200,-34.1353742981819,273.307284421413
"beta",83,200,-35.2137390250199,259.518821420023
"beta",84,200,-39.4764850095852,229.094659715234
"beta",85,200,-39.9920938731748,304.350272944263
"beta",86,200,-28.09177205341,333.774036992721
"beta",87,200,-30.3557349230882,222.50681311978
"beta",88,200,-31.1066851331798,267.032743795577
"beta",89,200,-31.6315475487438,346.941375153051
"beta",90,200,-38.1324109916827,325.859070669977
