"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",1205.04138299619,643.595148526354,511.952243584222,4.29,0.82,748.233465215095,0.757,589.152478939322,0.894,985.411504420746,0.868,819.600283790469,0.929,1180.52434620972,0.922,1038.0093689674,"box_cox_sqrt",4,200
"bart",975.916587704221,725.706243482354,498.608800794525,0.964999999999996,0.897,556.10906926695,0.899,548.358723690098,0.933,719.471490801322,0.935,710.475142280162,0.953,862.723245444418,0.951,852.462366616921,"box_cox_sqrt",4,200
"bart_bc",1264.44616116006,655.283721703101,511.989746446003,2.337,0.796,871.879258273909,0.728,713.100161013956,0.865,1185.56212683172,0.852,989.290495895891,0.911,1504.50280720329,0.909,1273.69985485309,"box_cox_sqrt",4,200
"sblm",1443.19613450916,518.427529119559,466.341590907721,2.123,0.815,1339.92859479298,0.824,830.203632082091,0.916,2047.45137630004,0.904,1418.96794624882,0.946,2752.46451102572,0.939,2133.19634811433,"box_cox_sqrt",4,200
"sebart",803.251273969339,644.752390118906,507.949145741505,4.484,0.815,895.435279209135,0.757,693.272135737864,0.906,1197.09832954186,0.877,977.580041986622,0.942,1475.00736950341,0.937,1261.28272223199,"box_cox_sqrt",5,200
"bart",439.415336129684,776.974228994972,501.950015822207,1.031,0.905,639.848195954692,0.901,630.036291351592,0.94,828.898627832361,0.937,818.036717519251,0.961,994.588793743743,0.959,982.164927973791,"box_cox_sqrt",5,200
"bart_bc",907.932304983091,661.219441693465,514.091544148165,2.465,0.777,1107.98373506049,0.699,856.100336805808,0.868,1537.65107921955,0.848,1226.57366926636,0.922,1976.79725432901,0.926,1627.96134383,"box_cox_sqrt",5,200
"sblm",1062.07506746482,516.838402275021,463.59439297238,2.232,0.82,1471.13480118263,0.815,888.958537660936,0.912,2276.65263596542,0.9,1556.18554991835,0.946,3114.16488749713,0.934,2368.69365596803,"box_cox_sqrt",5,200
"sebart",869.30143608097,671.535328337992,502.926595083402,4.34399999999999,0.869,974.474859170593,0.807,756.320224070336,0.924,1304.98743154648,0.909,1060.10092881024,0.956,1583.02081951641,0.948,1365.71680438979,"box_cox_sqrt",6,200
"bart",482.589384120344,749.244251253823,494.226977910349,0.935000000000002,0.887,623.253216343306,0.886,611.731238845234,0.937,805.269661845907,0.938,793.50313080742,0.957,965.080467066933,0.952,952.812628847427,"box_cox_sqrt",6,200
"bart_bc",1386.84956112089,740.97723530985,508.542644311345,2.35299999999999,0.84,1657.19621983679,0.753,1216.01113257266,0.924,2351.41396593116,0.916,1798.14565741148,0.97,3101.0232442724,0.974,2462.93823282853,"box_cox_sqrt",6,200
"sblm",1197.43436497556,518.351643377772,463.681012782387,2.169,0.848,1429.64120190514,0.815,887.55048299277,0.932,2195.29729352961,0.887,1509.98070600175,0.957,3072.64140279258,0.944,2286.72789453321,"box_cox_sqrt",6,200
