"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"box_cox","bart",150,665.720251897154,0.92609,868.997237014611,0.95581,1124.39654025111,0.9683,1347.45124758975,0.92384,856.779567378438,0.95479,1110.47770555625,0.96781,1331.86834403241,721.815039405983,498.257486331742,1.01534000000001
"box_cox","bart_bc",150,1108.44522860568,0.79549,1377.13551696246,0.88035,1978.13530478286,0.92958,2641.69183343426,0.72048,976.685502232367,0.87191,1480.01478894672,0.94378,2060.42468477496,653.0086706991,500.635814187218,2.36639
"box_cox","sblm",150,1215.56423388358,0.80689,1373.33665290399,0.89461,2174.36240439081,0.93376,3093.58733824379,0.79247,813.332382688951,0.87939,1449.4773028154,0.924,2260.93388828657,515.447545064175,462.993006402187,2.00572
"box_cox","sebart",150,991.968457822464,0.8422,1002.78912102457,0.90667,1340.35975822689,0.9379,1651.90039903815,0.78302,734.995524718841,0.89248,1074.62446824745,0.93841,1394.39424407785,637.477591980966,497.050836780737,4.34676000000001
