"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sblm",1121.41255801889,514.691369999946,456.274041295996,1.39200000000001,0.844,1358.55635507451,0.817,813.834917297767,0.92,2132.31062785703,0.89,1421.90983511923,0.948,2997.55156945842,0.931,2207.23705000721,"box_cox",7,500
"sebart",466.172333585312,617.763197732823,442.803486129246,6.12,0.83,922.84168957626,0.788,679.056005344689,0.9,1219.16806346879,0.877,1001.52003709943,0.932,1493.95192322392,0.927,1277.64893476229,"box_cox",8,500
"bart",255.927253167854,704.200609174314,451.934001259293,1.14700000000001,0.661,249.703718430082,0.66,241.772163973643,0.751,333.802608273132,0.748,325.354603040738,0.799,409.991918355977,0.802,401.069316761343,"box_cox",8,500
"bart_bc",326.585833221186,636.242372812568,453.71687610243,3.111,0.872,687.105434621838,0.79,597.406765911008,0.936,939.16130182857,0.933,819.829126269314,0.974,1185.10059795403,0.97,1045.26619459588,"box_cox",8,500
"sblm",1018.95478385185,477.129132692182,403.269641271815,1.354,0.849,1786.50038504101,0.847,1020.49321188641,0.934,2833.12019492015,0.918,1854.82862194423,0.956,4050.56934992592,0.95,2928.11539054178,"box_cox",8,500
"sebart",757.432924925771,643.398577179753,484.413026614019,5.965,0.847,873.885295532864,0.79,598.334160444106,0.905,1250.77981751854,0.894,938.690158607508,0.941,1566.06792358761,0.932,1304.84846865074,"box_cox",9,500
"bart",271.134876644661,762.924410588644,478.310330738255,1.12100000000001,0.692,287.071963545346,0.7,275.175416018966,0.771,376.244482104125,0.769,364.805968236454,0.822,463.166821106951,0.82,445.535829939916,"box_cox",9,500
"bart_bc",535.220667344609,681.793066782649,487.737085661812,3.134,0.833,797.704684932587,0.805,683.778035497378,0.89,1070.21803667127,0.898,927.307129659874,0.929,1327.55518682264,0.936,1169.3972211715,"box_cox",9,500
"sblm",1312.43143928191,471.865318176466,434.492613373719,1.39099999999999,0.842,1357.08703932544,0.844,791.843449573393,0.925,2236.29129599068,0.905,1445.46783689312,0.954,3379.62212717791,0.945,2333.15604283387,"box_cox",9,500
"sebart",971.711985285458,697.204871334808,514.867643435517,6.084,0.826,969.934603925231,0.761,743.624094271924,0.902,1313.47642379728,0.874,1044.81125123187,0.934,1636.30043518909,0.934,1369.87447227865,"box_cox",10,500
"bart",522.630629373951,781.768962075892,515.414536333605,1.132,0.621,228.572251948442,0.61,218.45623516634,0.715,303.513936024826,0.721,294.744854142235,0.786,370.792228286539,0.793,363.073030259257,"box_cox",10,500
"bart_bc",655.707304177013,703.244589338814,518.121691286018,3.15600000000001,0.838,832.511872585435,0.779,718.716349858848,0.915,1109.87291122367,0.894,970.04739442055,0.95,1373.01551400467,0.952,1216.4953231556,"box_cox",10,500
"sblm",1234.85318488455,500.190584058264,460.171255633609,1.441,0.823,1307.86158953886,0.812,776.438887813313,0.909,2119.21545784034,0.891,1374.30956359204,0.952,3134.54011135291,0.934,2205.00959418598,"box_cox",10,500
"sebart",1322.90141311812,886.515247369163,565.01367557811,6.316,0.836,1413.43961107679,0.777,977.219880850021,0.907,1790.89293872024,0.891,1480.67072873341,0.941,2046.60449137094,0.935,1840.56631183501,"box_cox",11,500
"bart",334.264282558469,886.446645858614,564.180677805178,1.23699999999999,0.629,261.903833296771,0.629,252.878794717514,0.716,342.737884764863,0.708,332.693123068569,0.78,414.304505314415,0.774,404.894092984753,"box_cox",11,500
"bart_bc",654.867767913526,815.146454519816,566.276436930326,3.22900000000001,0.823,909.741710502526,0.777,793.660220641596,0.883,1208.23507728665,0.874,1069.68998975581,0.919,1495.93435355865,0.916,1331.17071304789,"box_cox",11,500
"sblm",1250.50910913503,545.862011067273,501.725495685751,1.446,0.824,1316.58652337672,0.821,801.276878430898,0.913,2118.86414241932,0.89,1390.23750353855,0.948,3156.55164633104,0.937,2201.05492871015,"box_cox",11,500
