"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","ISE_adjusted_mean","ISE_adjusted_expected","Mu_mean","Sigma_mean"
"sigmoid",64,200,Inf,Inf,Inf,Inf,0.402969975483915,0.39817523703836
"sigmoid",65,200,Inf,Inf,Inf,Inf,0.263075225839175,0.378193330567347
"sigmoid",66,200,Inf,Inf,Inf,Inf,0.404758852642584,0.359910671567718
"sigmoid",67,200,Inf,Inf,Inf,Inf,0.295530800064918,0.32127931421556
"sigmoid",68,200,Inf,Inf,Inf,Inf,0.30483621263774,0.316740219038119
"sigmoid",69,200,Inf,Inf,Inf,Inf,0.339943410044196,0.347118995596535
"sigmoid",70,200,Inf,Inf,Inf,Inf,0.317884243640915,0.358505378700753
"sigmoid",71,200,Inf,Inf,Inf,Inf,0.419855115131056,0.399438163258907
"sigmoid",72,200,Inf,Inf,Inf,Inf,0.429583187501149,0.351729050212518
"sigmoid",73,200,Inf,Inf,Inf,Inf,0.374678663275769,0.365533961863343
"sigmoid",74,200,Inf,Inf,Inf,Inf,0.504741423208552,0.386616211371951
"sigmoid",75,200,Inf,Inf,Inf,Inf,0.750173847511098,0.401347262843721
"sigmoid",76,200,Inf,Inf,Inf,Inf,0.419284627206008,0.377781728216127
"sigmoid",77,200,Inf,Inf,Inf,Inf,0.459804783598646,0.438344060128382
"sigmoid",78,200,Inf,Inf,Inf,Inf,0.445936625298512,0.308620057979643
"sigmoid",79,200,Inf,Inf,Inf,Inf,0.370628380130498,0.359734622144904
"sigmoid",80,200,Inf,Inf,Inf,Inf,0.380699379255539,0.340448809201639
"sigmoid",81,200,Inf,Inf,Inf,Inf,0.625635591823583,0.354641265426029
"sigmoid",82,200,Inf,Inf,Inf,Inf,0.398763582498458,0.393868150583975
"sigmoid",83,200,Inf,Inf,Inf,Inf,0.433516682892276,0.366870831111569
"sigmoid",84,200,Inf,Inf,Inf,Inf,0.568843881722975,0.432263540941827
"sigmoid",85,200,Inf,Inf,Inf,Inf,0.658712463772623,0.40713877817097
"sigmoid",86,200,Inf,Inf,Inf,Inf,0.599684730536361,0.416946259751797
