"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"identity",1,150,-24.3031256611937,-24.3031256611937,-2.16944257340894,-2.62451307862313,-1.81637372947286
"identity",1,150,-20.4326910024465,-20.4326910024465,-1.97265969755144,-2.30401138649299,-1.70782575726417
"identity",1,150,-15.8403279496995,-15.8403279496995,-1.85362276835666,-2.12664924279916,-1.5938505652824
"identity",1,150,-14.3690004188055,-14.3690004188055,-1.76841535512065,-2.02643514735977,-1.4709310849278
"identity",1,150,-14.3102763881153,-14.3102763881153,-1.69181303441261,-1.94015670193199,-1.38287481422504
"identity",1,150,-13.521000026786,-13.521000026786,-1.61660641169157,-1.87786129954899,-1.32068946878793
"identity",1,150,-11.9101351230399,-11.9101351230399,-1.54250470492024,-1.82455710480726,-1.23458265679284
"identity",1,150,-10.9530800968889,-10.9530800968889,-1.47613819464296,-1.7639386182226,-1.15316176000032
"identity",1,150,-10.2393690740678,-10.2393690740678,-1.41268127160917,-1.70918043623075,-1.08741596265386
"identity",1,150,-8.82215225684447,-8.82215225684447,-1.34751486218392,-1.65368972130016,-1.01198485551985
"identity",1,150,-8.18823534972762,-8.18823534972762,-1.28551541417591,-1.59783633594286,-0.953021894816468
"identity",1,150,-7.47621689376909,-7.47621689376909,-1.22594465504068,-1.55790457283505,-0.897082195978931
"identity",1,150,-7.02350341182151,-7.02350341182151,-1.16619498584056,-1.50134163293644,-0.832396351390328
"identity",1,150,-6.73123147690293,-6.73123147690293,-1.10739226205601,-1.44952969116817,-0.77498662500306
"identity",1,150,-6.49479812755091,-6.49479812755091,-1.05247836446921,-1.38776927302887,-0.710278407123922
"identity",1,150,-5.87944850936527,-5.87944850936527,-0.998163378480448,-1.33622841943635,-0.66821644647385
"identity",1,150,-5.06067663815032,-5.06067663815032,-0.944664979492597,-1.27516125208524,-0.632524922356873
"identity",1,150,-3.97141250343836,-3.97141250343836,-0.893913964457806,-1.23395410233492,-0.57527708137265
"identity",1,150,-3.71496996666176,-3.71496996666176,-0.845752041675251,-1.16220902963719,-0.526150111133887
"identity",1,150,-3.45497183715927,-3.45497183715927,-0.800093468057404,-1.12381895794514,-0.477965528903058
"identity",1,150,-2.7371402228262,-2.7371402228262,-0.755896833655906,-1.08701492181575,-0.444932503553773
"identity",1,150,-2.66096188506362,-2.66096188506362,-0.713783117535089,-1.05283291265652,-0.401397677230423
"identity",1,150,-1.69139343795597,-1.69139343795597,-0.67140878684984,-0.995889361451331,-0.366053998859875
"identity",1,150,-0.885003092746289,-0.885003092746289,-0.628703396219756,-0.943574593020216,-0.339507918223666
"identity",1,150,-0.405000801795835,-0.405000801795835,-0.590083388711748,-0.897517721191825,-0.295298405092013
"identity",1,150,0.00237475668109355,0.00237475668109355,-0.5518989869207,-0.859692106928372,-0.273393881484211
"identity",1,150,0.638854463810639,0.638854463810639,-0.516029952536222,-0.82353970572757,-0.24438895104507
"identity",1,150,0.919054327211077,0.919054327211077,-0.482694911513169,-0.769630417291194,-0.215253927458514
"identity",1,150,1.57789379698811,1.57789379698811,-0.449588183416411,-0.731387743364927,-0.199688056070924
"identity",1,150,2.74764805896569,2.74764805896569,-0.419517008459411,-0.692328563117446,-0.177407263766387
"identity",1,150,2.86957805526596,2.86957805526596,-0.387389601796062,-0.658082447519231,-0.149212149784612
"identity",1,150,2.99348823266915,2.99348823266915,-0.358092363305605,-0.630799810403073,-0.132428588080817
"identity",1,150,3.8217672139872,3.8217672139872,-0.330026889778281,-0.597170842551328,-0.10913355858602
"identity",1,150,4.04380588509923,4.04380588509923,-0.302645999308972,-0.561988774308438,-0.0896013577825942
"identity",1,150,4.06418697338096,4.06418697338096,-0.276321131960288,-0.521691635121201,-0.0693551167531838
"identity",1,150,4.37739805678832,4.37739805678832,-0.252262634787801,-0.492643847901073,-0.0563934926200178
"identity",1,150,4.46596092676241,4.46596092676241,-0.230001710041646,-0.459717522200309,-0.0406807522209229
"identity",1,150,4.88979485730608,4.88979485730608,-0.209406205340802,-0.432402428878305,-0.0250597929174266
"identity",1,150,5.06823806269827,5.06823806269827,-0.18866046668751,-0.407123292746625,-0.015202572227259
"identity",1,150,6.04460587563087,6.04460587563087,-0.16840274413789,-0.381216761583705,-0.000398877110482404
"identity",1,150,6.16352735671919,6.16352735671919,-0.150076732000522,-0.351591538228082,0.010453721254766
"identity",1,150,7.12001359613436,7.12001359613436,-0.132451891793069,-0.324639539429282,0.0201558302227784
"identity",1,150,7.33743889448984,7.33743889448984,-0.115251902772876,-0.305554864868976,0.0273085572001154
"identity",1,150,7.36182744448361,7.36182744448361,-0.0992522144033169,-0.280989880945302,0.0353857742830456
"identity",1,150,7.87875484720087,7.87875484720087,-0.0844490414969137,-0.262131098804885,0.0454896762452624
"identity",1,150,8.07662592011373,8.07662592011373,-0.069246631717813,-0.242507881936011,0.0525685834768348
"identity",1,150,8.77500132012953,8.77500132012953,-0.056272429093794,-0.216059839851492,0.0611199597112515
"identity",1,150,9.52256209195886,9.52256209195886,-0.0440659259114535,-0.1965399944059,0.0659750897644407
"identity",1,150,9.95271779780229,9.95271779780229,-0.032547108094941,-0.182776685918001,0.0693790518029971
"identity",1,150,10.2939620412556,10.2939620412556,-0.0216661983195684,-0.168616991648564,0.0809681263871503
"identity",1,150,10.3499981212983,10.3499981212983,-0.0111806812809969,-0.151140539185522,0.0914696382954777
"identity",1,150,10.5051694746377,10.5051694746377,-0.00116477798209621,-0.13424994318773,0.103875389449351
"identity",1,150,11.1897700495981,11.1897700495981,0.00766987857477538,-0.119672836112816,0.110506960345147
"identity",1,150,11.1912128613116,11.1912128613116,0.0158551326081525,-0.104559948582705,0.120700554917241
"identity",1,150,11.9706553193268,11.9706553193268,0.022996621347263,-0.086995286311717,0.127027213292909
"identity",1,150,12.0812220733625,12.0812220733625,0.0299422979049822,-0.0743705352135767,0.131814053788311
"identity",1,150,12.4954781099065,12.4954781099065,0.0360861221976488,-0.0637486448169976,0.139838469044958
"identity",1,150,13.7896973343535,13.7896973343535,0.0415000018127337,-0.054549992965382,0.14589741802969
"identity",1,150,14.0007798968013,14.0007798968013,0.0462144714992013,-0.0451915981516339,0.153774092088673
"identity",1,150,14.0687327883806,14.0687327883806,0.0505845869772979,-0.036386222775517,0.155999736961527
"identity",1,150,14.6108178514867,14.6108178514867,0.0546283215698197,-0.0292111374061814,0.160879399448898
"identity",1,150,14.752211043062,14.752211043062,0.0584240854881415,-0.0220258087615396,0.167150707889559
"identity",1,150,14.8825517004431,14.8825517004431,0.0617829143659595,-0.0144027092447089,0.184531018027741
"identity",1,150,15.298263467776,15.298263467776,0.0649105033040582,-0.00613408967840057,0.187161282839534
"identity",1,150,15.3898437162225,15.3898437162225,0.067594465439698,0.00493981545218392,0.188055157285763
"identity",1,150,15.6008120226206,15.6008120226206,0.0700195876111244,0.00876684945903747,0.189519494373353
"identity",1,150,15.8704356199209,15.8704356199209,0.0719512073594315,0.0106343535557263,0.189884997878101
"identity",1,150,16.0407034141307,16.0407034141307,0.073679289003015,0.0158246219352411,0.191815100626043
"identity",1,150,16.3338820745101,16.3338820745101,0.0753151858093288,0.0231610281655598,0.201334421953776
"identity",1,150,16.3644899951984,16.3644899951984,0.0765969974811216,0.0295828442668685,0.204104426867398
"identity",1,150,16.4862188531108,16.4862188531108,0.0778475113790441,0.0353430315112241,0.214325654398755
"identity",1,150,16.5214285031911,16.5214285031911,0.079005665063723,0.0399102494558979,0.215014284036911
"identity",1,150,17.0748614349091,17.0748614349091,0.080097760454006,0.0414148462679446,0.21984450384506
"identity",1,150,17.404419037936,17.404419037936,0.0810254474293881,0.0448376782333341,0.225039350702827
"identity",1,150,17.6310011338172,17.6310011338172,0.0818811171876275,0.0510667321850596,0.227856501176603
"identity",1,150,17.8303186633886,17.8303186633886,0.082866478338361,0.0542143361227117,0.229519705385218
"identity",1,150,17.9640623904007,17.9640623904007,0.0836915429495942,0.0553137465349455,0.233576269694033
"identity",1,150,17.9748664513393,17.9748664513393,0.0847528826236129,0.058223242441951,0.234902330816507
"identity",1,150,18.026146552148,18.026146552148,0.0857221613910407,0.0590975610276851,0.235633942608505
"identity",1,150,18.2068795620367,18.2068795620367,0.0870082456613363,0.0612509217301909,0.237483775773033
"identity",1,150,18.5689459978232,18.5689459978232,0.0883511677789603,0.0618856696233706,0.239945886586482
"identity",1,150,18.5811866698474,18.5811866698474,0.0900136630722123,0.0628223977029738,0.246309497375814
"identity",1,150,18.8166983974238,18.8166983974238,0.0917733140468017,0.0636734988281399,0.247907451818659
"identity",1,150,19.6982193695622,19.6982193695622,0.0937686152215725,0.0658695473341475,0.248783275015826
"identity",1,150,19.8014684595552,19.8014684595552,0.0959589099235205,0.0666731923841606,0.249648530934979
"identity",1,150,20.1371320650102,20.1371320650102,0.0985094321345464,0.0683963738708062,0.253051727604941
"identity",1,150,21.2497956065154,21.2497956065154,0.101157061539393,0.0694380222460986,0.253386722642355
"identity",1,150,21.4490522207985,21.4490522207985,0.104252338490747,0.069804788223864,0.256058332611963
"identity",1,150,21.5431765287261,21.5431765287261,0.107945751191203,0.0699221205892066,0.26176298568321
"identity",1,150,21.5602554798988,21.5602554798988,0.11171503036495,0.0699935894945327,0.263895034087381
"identity",1,150,21.9431628568021,21.9431628568021,0.116069856692475,0.0700406526489956,0.272631161832665
"identity",1,150,22.8343750793207,22.8343750793207,0.121023881519559,0.0701094497534977,0.27739109727854
"identity",1,150,22.8396489535461,22.8396489535461,0.126548701154606,0.0702810273573416,0.292061872872246
"identity",1,150,23.3734344132061,23.3734344132061,0.132218987580421,0.0707783937186901,0.298481774286706
"identity",1,150,23.5128704047466,23.5128704047466,0.138654646475305,0.0715969138788886,0.31376995415904
"identity",1,150,23.7447811637687,23.7447811637687,0.145883168416695,0.073242900679338,0.330932066476098
"identity",1,150,24.499827200598,24.499827200598,0.153659106054953,0.0747898342748227,0.342475099557555
"identity",1,150,24.8488100057039,24.8488100057039,0.161893408039843,0.0768570544304401,0.359103308346134
"identity",1,150,25.1229882464058,25.1229882464058,0.17000332647356,0.0794205289176622,0.364567255544982
"identity",1,150,25.1461127916899,25.1461127916899,0.17945798342189,0.0834329295121939,0.372469638342996
"identity",1,150,26.2852487911456,26.2852487911456,0.189324963225438,0.0869409376473667,0.387275151385261
"identity",1,150,26.509069874168,26.509069874168,0.200019445009851,0.0929766791647132,0.397909855461006
"identity",1,150,27.1674532575352,27.1674532575352,0.211356292179698,0.0964379716348543,0.425345989856223
"identity",1,150,27.1932817965045,27.1932817965045,0.224724622171018,0.101736631302752,0.432859984790364
"identity",1,150,29.1932344279273,29.1932344279273,0.238361204417149,0.108655116764731,0.453652169971182
"identity",1,150,29.9319441840971,29.9319441840971,0.252178755847217,0.116322552700007,0.473763697887278
"identity",1,150,30.707890803363,30.707890803363,0.268059292052531,0.125785311586867,0.489971584755139
"identity",1,150,30.9796777782745,30.9796777782745,0.284517070590962,0.13466345562825,0.514062205296862
"identity",1,150,31.0853689129321,31.0853689129321,0.30197650057795,0.142530321895678,0.526897687977679
"identity",1,150,31.246109349178,31.246109349178,0.319333615193741,0.149598205818945,0.547557124585866
"identity",1,150,33.2940659910182,33.2940659910182,0.33821144957517,0.165166762465309,0.58046096962239
"identity",1,150,33.2978671435499,33.2978671435499,0.35812410634507,0.176081506612846,0.610170315561718
"identity",1,150,35.4539956625272,35.4539956625272,0.378902154808294,0.18733743196191,0.627085850902506
"identity",1,150,35.5371802989618,35.5371802989618,0.400217663916042,0.201392955059011,0.654799180194891
"identity",1,150,35.6367384934621,35.6367384934621,0.422992363073487,0.216620196757287,0.671721589171645
"identity",1,150,36.0179673458872,36.0179673458872,0.447787524256007,0.233899006716171,0.713151227810374
"identity",1,150,37.4077335581133,37.4077335581133,0.473862352908948,0.254166363213976,0.76173056945357
"identity",1,150,37.7875176252084,37.7875176252084,0.502134853699527,0.275837065932446,0.787723310652598
"identity",1,150,39.6318144134993,39.6318144134993,0.529622717611517,0.293677558690753,0.826603767281226
"identity",1,150,40.2746853395962,40.2746853395962,0.559681984219371,0.31391889170194,0.859502625579356
"identity",1,150,40.3899155084042,40.3899155084042,0.591979660130378,0.333049412062183,0.886457552956827
"identity",1,150,45.137870093984,45.137870093984,0.623364922474027,0.362654252642835,0.931522203627739
"identity",1,150,46.6608190859466,46.6608190859466,0.657036761942237,0.388798277559775,0.971876762679447
"identity",1,150,46.6695355678762,46.6695355678762,0.690654646111128,0.41393084363543,1.01623638804279
"identity",1,150,47.1600490176541,47.1600490176541,0.72723206131758,0.447821585278947,1.04772643487363
"identity",1,150,47.3645421589214,47.3645421589214,0.763765808646548,0.463865852133483,1.08572911274485
"identity",1,150,49.6594414890158,49.6594414890158,0.804540110261038,0.501857712466059,1.13628254194711
"identity",1,150,49.7230588177096,49.7230588177096,0.844088599707944,0.543426800051093,1.16407738636748
"identity",1,150,51.5840247550073,51.5840247550073,0.886292783455067,0.593577602654719,1.21444550218575
"identity",1,150,52.8535517957628,52.8535517957628,0.928857574043822,0.630943638872563,1.2691389514112
"identity",1,150,54.6655131206463,54.6655131206463,0.973484482926895,0.666474236445361,1.30194115258441
"identity",1,150,59.560939779414,59.560939779414,1.02137363593576,0.713877798113287,1.35768478788526
"identity",1,150,59.7973474554228,59.7973474554228,1.06711065179778,0.753516150536497,1.40667459387922
