"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"beta","bart",150,0.116818878910065,0.79657,0.162368449998159,0.85891,0.208678924969886,0.89014,0.248830271287148,0.79384,0.160647271889749,0.85742,0.206729640303595,0.88911,0.246668886334095,0.206111349196852,0.136456394120373,1.10693999999997
"beta","bart",200,0.10553008011647,0.79572,0.138754061445136,0.85142,0.178348195887785,0.87962,0.212683187193798,0.79338,0.137214527813165,0.84988,0.176614608608291,0.87871,0.210761415891831,0.207573527406145,0.134334939944954,1.12299000000005
"beta","bart",250,0.0999194781977548,0.78968,0.123778253491433,0.84585,0.159155888254026,0.874,0.189741894279164,0.78823,0.122340807748929,0.84429,0.157546066204523,0.87298,0.187984822659676,0.209941055037553,0.135511091323755,24.61978
"beta","bart",500,0.0882978708047739,0.73874,0.0689733666961002,0.79038,0.0887121670516162,0.81951,0.105756808572379,0.73945,0.0677946306666607,0.78908,0.0875128779666218,0.81796,0.104514138034217,0.213550718165885,0.130834007554929,1.36097000000009
"beta","bart_bc",150,0.141028291623097,0.88814,0.538176543716037,0.91538,0.626230520261783,0.93045,0.694611424278498,0.84047,0.520552021579705,0.90562,0.616907950571808,0.92666,0.687502093058972,0.249487631402146,0.179411307517344,2.26084999999997
"beta","bart_bc",200,0.127220139879723,0.87644,0.471500170303681,0.90253,0.548133454716655,0.91816,0.607798978443139,0.83585,0.45767978037955,0.89329,0.540327395502509,0.914,0.601757714713357,0.244242764097222,0.171213246377856,2.3260999999999
"beta","bart_bc",250,0.118387635614571,0.8665,0.412608216381312,0.8901,0.478847343673759,0.90535,0.530743203769238,0.83584,0.40230560280093,0.88222,0.472716767018422,0.90148,0.525782934921305,0.241458891804194,0.164190460126961,11.8942799999998
"beta","bart_bc",500,0.108629614195816,0.80315,0.234017247598535,0.82248,0.271402784969703,0.83701,0.301117309466257,0.78592,0.229433047705679,0.81403,0.267918585675279,0.83105,0.298093607393639,0.233096654988742,0.143556299773755,2.91669000000024
"beta","lm",150,0.257976816233391,0.87988,0.752600291565626,0.89201,0.964967446972856,0.90179,1.14785891309743,0.87947,0.745006258484083,0.8915,0.956440793356059,0.90134,1.13843402519243,0.102471502448511,0.100500215790193,0.0249399999999605
"beta","lm",200,0.254136306618613,0.87988,0.742072178097405,0.89219,0.951608040802854,0.90217,1.13220714061689,0.87935,0.734555980776167,0.89159,0.943174796479891,0.90185,1.12285879097347,0.103401923536892,0.103313887419556,0.0248100000000522
"beta","lm",250,0.25383637194499,0.87963,0.74322376948352,0.89127,0.952971730506314,0.90113,1.13363089018987,0.87894,0.73570789044796,0.89097,0.944540539545095,0.90063,1.12428932960916,0.104711225031502,0.105424037683392,0.023470000000234
"beta","lm",500,0.24956233845015,0.88026,0.742267786366663,0.89141,0.951843389478105,0.90196,1.1324548004195,0.87978,0.734761297013741,0.89108,0.943395517776099,0.9015,1.12313295849089,0.104845695437992,0.104315648032966,0.0257999999997264
"beta","sblm",150,0.236152896533834,0.80481,0.393339990134094,0.89102,0.543999818138478,0.93144,0.6671196939355,0.81028,0.228287961072165,0.88592,0.395510763045812,0.92296,0.547779915823612,0.137291726453811,0.122216955514749,1.97293000000001
"beta","sblm",200,0.232822445045349,0.80833,0.381790889271685,0.89316,0.531179633984738,0.93394,0.655247481561412,0.81316,0.219833314487279,0.88928,0.38388664177116,0.92588,0.535004334488812,0.135720868813067,0.12103727573538,2.22750999999998
"beta","sblm",250,0.233913890055335,0.81454,0.394459288144683,0.89898,0.549073520190271,0.93826,0.676038127505216,0.82117,0.225360486799914,0.89645,0.396703950539484,0.93169,0.552935797243923,0.13513102443082,0.121257271051019,22.3718200000004
"beta","sblm",500,0.231160053534683,0.82206,0.3915028735791,0.90384,0.546647661044534,0.94135,0.673826382651457,0.82779,0.222856272780516,0.90159,0.393728074517368,0.93542,0.550607122957521,0.134084301286355,0.119834054144037,1.3897999999996
"beta","sebart",150,0.12765417263143,0.84077,0.226305858255467,0.90737,0.30629893372409,0.93867,0.382485402550158,0.80569,0.149348614954982,0.91408,0.22954343287418,0.95467,0.308959598422531,0.176379824746966,0.127522335984011,4.25456
"beta","sebart",200,0.117888471049355,0.82866,0.20341372778613,0.89998,0.273726741928149,0.93528,0.340081597642497,0.79216,0.13754840391661,0.90174,0.207543772517199,0.94972,0.276595169033777,0.180271453151659,0.126795821865967,4.46180999999986
