"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","Mu_mean","Sigma_mean"
"identity",1,500,2054.01712745665,2054.02557550116,-0.0980591278028127,0.290769662147498
"identity",2,500,2007.68496465499,2007.69302490878,0.256002484801527,0.315569282185444
"identity",3,500,2154.77680742861,2154.7851161581,-0.0563612274738148,0.32787989095111
"identity",4,500,2162.73530486805,2162.74247987058,0.188258170692351,0.266756190662625
"identity",5,500,1761.25047963587,1761.2579643204,0.0364123787061836,0.258637040094926
"identity",6,500,1979.35467681713,1979.36244418536,-0.0202059962768275,0.310827726875345
"identity",7,500,1934.52774330414,1934.53499787249,0.0769411780514356,0.307456908146205
"identity",8,500,2569.57626485164,2569.58415621505,0.0189014929940233,0.307619759689951
"identity",9,500,2027.57211762619,2027.57972983656,0.0715172420864041,0.270773323043102
"identity",10,500,1914.09900216004,1914.10753559439,0.0374682062456923,0.310097040511692
"identity",11,500,1689.35748992972,1689.36487871,0.292232001628491,0.284374910992795
"identity",12,500,2009.41777190451,2009.42510475859,0.0783872990431289,0.267457914796446
"identity",13,500,1662.93375544071,1662.94074847266,-0.00213331796557905,0.23574893799125
"identity",14,500,1795.71770197794,1795.72552700076,0.0835249074553772,0.264830669455947
"identity",15,500,1942.31585567159,1942.32254633742,0.0790445508931993,0.260259743774565
"identity",16,500,1676.29013492546,1676.29746555071,0.11825443220991,0.266201039010531
"identity",17,500,1722.53582056241,1722.54323246745,0.00977790046559647,0.25745983183742
"identity",18,500,1927.98601496422,1927.99338194643,0.0338753563748024,0.288899591326389
"identity",19,500,2218.59053028693,2218.59819198743,0.0147802973075255,0.286639324497803
"identity",20,500,2199.77964567161,2199.78713647042,0.167067291203419,0.280526432660749
"identity",21,500,2063.26918019045,2063.27660771295,0.0890024003994398,0.303686707636943
"identity",22,500,1955.84975570051,1955.85748132778,0.04641314212122,0.261276736314521
"identity",23,500,1904.63783374641,1904.64533007582,0.0891863660244405,0.305112008308512
"identity",24,500,1910.48607641835,1910.49329646244,0.107217917124121,0.306879542078014
"identity",25,500,2287.70619143628,2287.71346797421,0.10765112780089,0.304502193260636
