"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"beta","bart",200,0.11731681025392,0.81,0.0863537360804763,0.84,0.111276503887765,0.856,0.132989546088767,0.803,0.0852535110142977,0.836,0.110071474388768,0.856,0.13162837358461,0.188475052865965,0.130994303120501,1.07
"beta","bart_bc",200,0.125064076101316,0.873,0.369496297846776,0.897,0.425689709596626,0.907,0.470663320083354,0.876,0.365150782974434,0.896,0.422098687548471,0.909,0.466962316393939,0.209504846688899,0.15451886367271,2.255
"beta","sblm",200,0.228726817151909,0.757,0.33083062935343,0.874,0.473030349480766,0.931,0.599906837378687,0.818,0.182169273879595,0.893,0.332763577435568,0.935,0.477148572221031,0.132723000046394,0.123149532427376,2.176
"beta","sebart",200,0.123959509731006,0.775,0.159822319316064,0.859,0.21402931035523,0.894,0.265729223789524,0.748,0.107796506232852,0.876,0.163255471537858,0.946,0.216488391039163,0.164119828384531,0.128741747435262,4.576
