"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"identity","bart",150,11.3355087365056,0.85387,25.4470112916214,0.934,32.6974023015048,0.96561,38.9504182538894,0.84757,25.1294982399167,0.93163,32.3383101647312,0.96467,38.5517619625825,30.5363799932357,24.2756666548524,1.09095000000001
"identity","bart_bc",150,23.4363920640878,0.78378,60.5933452110311,0.87986,83.3772915450624,0.93508,106.676488152576,0.69973,48.159514659729,0.86861,69.2926184629621,0.94594,91.5843485588864,27.4437035790124,23.9155886122026,2.38238
"identity","sblm",150,28.1629729114581,0.80739,61.9289411854974,0.89599,83.8680478676348,0.93478,104.639031999823,0.78867,53.1726194861207,0.88062,73.5588078739184,0.92428,93.4393950943321,22.7721103493762,20.5108702933439,2.02529
"identity","sebart",150,16.0689676908067,0.84208,42.548506830695,0.90688,54.4651547096686,0.93825,64.6916904966298,0.78331,36.4093867006434,0.89216,49.2124321604927,0.93686,60.0559288395109,28.0845042771536,24.0816075544574,4.37396000000001
