"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"identity",1,200,-5.67388720849924,-5.67388720849924,-0.96519351208542,-1.28283873177655,-0.654058159710035
"identity",1,200,-5.52593899554372,-5.52593899554372,-0.9241781351411,-1.23940907620643,-0.620688928463866
"identity",1,200,-5.2492103372633,-5.2492103372633,-0.886271919094493,-1.20449391039091,-0.574612690031798
"identity",1,200,-4.47582408732306,-4.47582408732306,-0.848504870069543,-1.14955710515716,-0.552225943056462
"identity",1,200,-4.35362570652321,-4.35362570652321,-0.811124332212827,-1.09974854706069,-0.515885947283335
"identity",1,200,-3.75997331767122,-3.75997331767122,-0.774585316327377,-1.06807497960212,-0.490431199351364
"identity",1,200,-3.17159866097387,-3.17159866097387,-0.738557142412581,-1.01527268776065,-0.4698562615095
"identity",1,200,-3.12338539315529,-3.12338539315529,-0.704188778807561,-0.976476655097127,-0.434150578813555
"identity",1,200,-2.82890988476941,-2.82890988476941,-0.670861606555388,-0.935855847655441,-0.404290538965379
"identity",1,200,-2.6594248895923,-2.6594248895923,-0.637995299844803,-0.905737260271498,-0.376585487312575
"identity",1,200,-2.65425378900664,-2.65425378900664,-0.605484533641245,-0.869217820419426,-0.353057024892539
"identity",1,200,-2.06961798865705,-2.06961798865705,-0.574712489853395,-0.837388039014479,-0.320788050682695
"identity",1,200,-1.88376136603999,-1.88376136603999,-0.54515574915007,-0.798825413413089,-0.302318018631369
"identity",1,200,-1.57608085027748,-1.57608085027748,-0.515857507165236,-0.773472472445975,-0.283239985205745
"identity",1,200,-1.40170002724247,-1.40170002724247,-0.486897619731145,-0.731749578217035,-0.263487527982977
"identity",1,200,-1.13022574506015,-1.13022574506015,-0.460910253350599,-0.702837130114861,-0.241316453103546
"identity",1,200,-1.12512634951261,-1.12512634951261,-0.436920934116654,-0.684905515446536,-0.21797363293287
"identity",1,200,-0.124290367546874,-0.124290367546874,-0.412207722562022,-0.648191828380423,-0.195833401388987
"identity",1,200,-0.090117262983822,-0.090117262983822,-0.387758759259608,-0.623002144002895,-0.176210296081797
"identity",1,200,0.138693282503235,0.138693282503235,-0.362963085445389,-0.583752187947645,-0.15807983055694
"identity",1,200,0.903909686417024,0.903909686417024,-0.340491239063055,-0.556632198842057,-0.14014421128275
"identity",1,200,1.00813778138979,1.00813778138979,-0.318594076868036,-0.523140825292063,-0.130181704690568
"identity",1,200,1.81154292284547,1.81154292284547,-0.297723656741048,-0.508094345804749,-0.119319495466206
"identity",1,200,2.6593680047458,2.6593680047458,-0.277670274673934,-0.481422984631824,-0.101890326426578
"identity",1,200,2.81765843379741,2.81765843379741,-0.258536087732977,-0.450314507389204,-0.0899589139885106
"identity",1,200,3.02558623156244,3.02558623156244,-0.240581065649005,-0.42810811135291,-0.0792106132821383
"identity",1,200,3.05125060857717,3.05125060857717,-0.223393590214011,-0.412245866922745,-0.0656802273078328
"identity",1,200,3.28089136211988,3.28089136211988,-0.205961630743527,-0.387837082287531,-0.052593818625862
"identity",1,200,3.44411774639333,3.44411774639333,-0.189433007631896,-0.364299804188766,-0.0437636285040081
"identity",1,200,3.47375207936355,3.47375207936355,-0.174399541016678,-0.346981887893451,-0.0354826628560341
"identity",1,200,3.69824491614285,3.69824491614285,-0.158676276452657,-0.321780999230791,-0.0234967049632994
"identity",1,200,3.79213684597852,3.79213684597852,-0.14388436998012,-0.29967530428799,-0.016335209456825
"identity",1,200,3.83835662046273,3.83835662046273,-0.130498006277582,-0.282642854597937,-0.00667443346022058
"identity",1,200,3.95714766947334,3.95714766947334,-0.117391086584235,-0.265601417516568,-0.00122623926981703
"identity",1,200,4.10851220807876,4.10851220807876,-0.104846671085327,-0.247476376683789,0.00567722730109747
"identity",1,200,4.22845044445071,4.22845044445071,-0.0927735074396289,-0.228369255577456,0.0116690575853267
"identity",1,200,4.4234590288242,4.4234590288242,-0.0815717755806132,-0.210818089263964,0.018730685925235
"identity",1,200,4.5894246077483,4.5894246077483,-0.0709835620300827,-0.201554828604505,0.0231028404807892
"identity",1,200,5.36292079850688,5.36292079850688,-0.0606551277887621,-0.183796896526039,0.0283459829049963
"identity",1,200,5.52623504474894,5.52623504474894,-0.0501781733493967,-0.160871790171581,0.0336470944419562
"identity",1,200,5.95521854489604,5.95521854489604,-0.0407688631707092,-0.14725721376318,0.0370684247787198
"identity",1,200,6.40927522756688,6.40927522756688,-0.0320462495836328,-0.136104137416152,0.0402859186468641
"identity",1,200,6.86075036148824,6.86075036148824,-0.0242101780602868,-0.122263932702446,0.0454920750057864
"identity",1,200,7.07044441500135,7.07044441500135,-0.0165346224684046,-0.111748179009147,0.0488764668442168
"identity",1,200,7.21119472890864,7.21119472890864,-0.00936725554416792,-0.0994896816712971,0.0516068615075136
"identity",1,200,8.22569074948402,8.22569074948402,-0.00306088985104791,-0.0883715011022261,0.0539524232012387
"identity",1,200,8.27130667578773,8.27130667578773,0.00355060679789919,-0.077251629521067,0.0566453172664263
"identity",1,200,8.28630257750377,8.28630257750377,0.00981549993205632,-0.0681056895833172,0.0583898401895461
"identity",1,200,8.31222872667881,8.31222872667881,0.0155970852042318,-0.0574565248443234,0.0602807977506027
"identity",1,200,8.52175583032693,8.52175583032693,0.0206580876766522,-0.0477245694463484,0.061662125311169
"identity",1,200,8.70904424001338,8.70904424001338,0.025391274380651,-0.0374403872145539,0.0629302870132449
"identity",1,200,8.82113356749301,8.82113356749301,0.029666768485484,-0.0286860593013595,0.0638959556473808
"identity",1,200,8.87131112180017,8.87131112180017,0.0335454022791466,-0.0208310122866376,0.0645462645350852
"identity",1,200,9.35642262814004,9.35642262814004,0.0372376946050431,-0.0152174254076168,0.0652388829875208
"identity",1,200,9.68356307430872,9.68356307430872,0.0405895368843394,-0.0101467713024155,0.0656513712874215
"identity",1,200,9.71553748132501,9.71553748132501,0.043624921205232,-0.000209525636235974,0.0662637664849541
"identity",1,200,9.89410043486214,9.89410043486214,0.046406711621783,0.00548617513131686,0.0664932733462668
"identity",1,200,10.3546569982851,10.3546569982851,0.0490426753294065,0.00969960184883798,0.066765593378178
"identity",1,200,11.5083323592465,11.5083323592465,0.0514289261898003,0.0166660491975451,0.0670266604640849
"identity",1,200,12.0407708494831,12.0407708494831,0.053601521348764,0.0222540390539282,0.0670980233221221
"identity",1,200,12.0569477090034,12.0569477090034,0.0554797517238224,0.0273799019764188,0.0671529011049044
"identity",1,200,12.0925577683746,12.0925577683746,0.0571955595778016,0.0306423548085289,0.0671843499684047
"identity",1,200,12.1155080162431,12.1155080162431,0.0586316489707715,0.0353427314517712,0.0671880109421057
"identity",1,200,12.1275431814595,12.1275431814595,0.0599521575855554,0.0399477037926953,0.0671912828209052
"identity",1,200,12.1483954644662,12.1483954644662,0.0611478482385911,0.0426875486602112,0.0672150443699005
"identity",1,200,12.2470689494509,12.2470689494509,0.0622516617549748,0.046015422709589,0.0672949927171649
"identity",1,200,12.3224753270056,12.3224753270056,0.063061664053797,0.048741457588887,0.0673778346186936
"identity",1,200,12.5078869263958,12.5078869263958,0.0638294561675602,0.0508343637692929,0.0675426065115861
"identity",1,200,12.6776839235553,12.6776839235553,0.0644932524908144,0.0529844632092252,0.0677353857393573
"identity",1,200,13.2048839395049,13.2048839395049,0.0650495597606861,0.0555755574266599,0.0680259343824772
"identity",1,200,14.0298378646648,14.0298378646648,0.0655440908869524,0.0568261457479225,0.0685316572189102
"identity",1,200,14.2174832648833,14.2174832648833,0.0659957651692598,0.0587241360291846,0.0691540018632616
"identity",1,200,14.2271763329622,14.2271763329622,0.0664369692975536,0.0600692358054219,0.0698627950789399
"identity",1,200,14.2695804398202,14.2695804398202,0.0668111775121719,0.0613649018241549,0.0706592374604729
"identity",1,200,14.9155036479929,14.9155036479929,0.0671960806132461,0.0626775301462108,0.0717682493331955
"identity",1,200,14.9206763262192,14.9206763262192,0.0676084307226702,0.0637688288602815,0.0728646086092387
"identity",1,200,15.6465491732902,15.6465491732902,0.0680363443209784,0.0646891784172986,0.0742167799059172
"identity",1,200,16.0451977543055,16.0451977543055,0.0685138903782445,0.0654382406943264,0.07544436639395
"identity",1,200,16.0987387296464,16.0987387296464,0.0689843992856815,0.0658808105195032,0.0774527562658367
"identity",1,200,16.3397706373994,16.3397706373994,0.0695382341141703,0.0663390119620485,0.0786536407978263
"identity",1,200,16.9696981315042,16.9696981315042,0.0702036254114322,0.0666837012326557,0.0814937657560664
"identity",1,200,17.1461109067597,17.1461109067597,0.0709368477574192,0.0668978207518368,0.0840122950567781
"identity",1,200,17.406951546215,17.406951546215,0.0717087969862779,0.0670583317782691,0.0864509339622125
"identity",1,200,17.743199184879,17.743199184879,0.072679240877651,0.0671325025118301,0.0895161889318383
"identity",1,200,18.4506016468773,18.4506016468773,0.0738244216852924,0.0671698890985371,0.0932503819420347
"identity",1,200,19.0849476958409,19.0849476958409,0.0750996578417111,0.067187534299161,0.097237393471947
"identity",1,200,19.7490716105584,19.7490716105584,0.0764975043745144,0.0671881715134496,0.101052016527328
"identity",1,200,20.0166569417521,20.0166569417521,0.0780442473985991,0.0671951672652983,0.106451859118215
"identity",1,200,20.1757842642177,20.1757842642177,0.0797462454083039,0.0672303285633677,0.111062922995449
"identity",1,200,21.278107520733,21.278107520733,0.0818128060440838,0.0672811808269002,0.115402910428698
"identity",1,200,21.3081122736631,21.3081122736631,0.0840961311118123,0.0674108764158071,0.12368059083367
"identity",1,200,21.4097472869108,21.4097472869108,0.0863550153020524,0.0677399746980058,0.126280534418642
"identity",1,200,22.2619870427434,22.2619870427434,0.0888573896050263,0.0678707733553861,0.133874439946106
"identity",1,200,22.5985029726206,22.5985029726206,0.0917509479105295,0.0682042237452909,0.137751491744038
"identity",1,200,22.7669206880458,22.7669206880458,0.0949920187930926,0.0686895098244152,0.146974674949791
"identity",1,200,22.9721507390693,22.9721507390693,0.0985559562624551,0.069268593635624,0.154494239842628
"identity",1,200,23.5794347873617,23.5794347873617,0.102354016667073,0.0699447958164257,0.161582959965384
"identity",1,200,23.6582295820337,23.6582295820337,0.106077766565822,0.0708415852924652,0.169786950985709
"identity",1,200,23.7637706347736,23.7637706347736,0.110636916656538,0.0720373558238668,0.183839672699983
"identity",1,200,23.8186269567709,23.8186269567709,0.11565388975445,0.0731054101278133,0.191618262254039
"identity",1,200,23.9998761683064,23.9998761683064,0.121024161756081,0.0744619237566827,0.201263557836503
"identity",1,200,24.1796748469944,24.1796748469944,0.126679350723703,0.0763194980934215,0.208646647443857
"identity",1,200,24.32204286926,24.32204286926,0.132571698018353,0.0792022236258095,0.217381024372832
"identity",1,200,24.461527961731,24.461527961731,0.139220443186812,0.0813061792368188,0.230072096219125
"identity",1,200,25.2034095005127,25.2034095005127,0.145877570229902,0.0829179745908958,0.242570018080735
"identity",1,200,25.2125692765885,25.2125692765885,0.153609556964628,0.0860372655751252,0.255163888967581
"identity",1,200,25.3591515074283,25.3591515074283,0.161214012496251,0.0897621859376236,0.2654734526883
"identity",1,200,26.1264360971817,26.1264360971817,0.169734020795399,0.0931565690178578,0.277699356824982
"identity",1,200,26.134362484187,26.134362484187,0.17874657035241,0.097062415430845,0.293342466508041
"identity",1,200,27.6039083469765,27.6039083469765,0.187942626594589,0.10089373043759,0.305849853118067
"identity",1,200,27.6428962989723,27.6428962989723,0.197974782990254,0.105591168566538,0.320729783222765
"identity",1,200,28.5106907745063,28.5106907745063,0.208809916988182,0.110008712842126,0.339236774945638
"identity",1,200,29.2496366777664,29.2496366777664,0.219352494875974,0.116754937217498,0.362379335980572
"identity",1,200,29.287937983495,29.287937983495,0.230342401253683,0.121618718555303,0.380006303073275
"identity",1,200,29.8573365723068,29.8573365723068,0.242620521503104,0.126922207867852,0.392935306558344
"identity",1,200,30.1308364581799,30.1308364581799,0.255337943945914,0.13205869751298,0.406936316361051
"identity",1,200,30.2580869355968,30.2580869355968,0.269253706541446,0.138065668247438,0.429861411991834
"identity",1,200,31.2663608247692,31.2663608247692,0.283769067447207,0.146800805850462,0.44912203617064
"identity",1,200,33.5159830907346,33.5159830907346,0.298611346451937,0.155534186789806,0.468656044935622
"identity",1,200,34.1874830996396,34.1874830996396,0.314343681300404,0.165952257710439,0.489983556936111
"identity",1,200,34.367564500891,34.367564500891,0.330063486105378,0.177339265870705,0.513154524033518
"identity",1,200,37.2494617628954,37.2494617628954,0.346843944783965,0.184606343536753,0.536226929287184
"identity",1,200,37.6670786729168,37.6670786729168,0.363050975739261,0.199487282103926,0.552815474029856
"identity",1,200,38.155940378954,38.155940378954,0.381867800530573,0.208106215615681,0.577012795394232
"identity",1,200,38.2555171582999,38.2555171582999,0.401657524703083,0.222152974907731,0.605161137111326
"identity",1,200,38.2738435777816,38.2738435777816,0.419913437731193,0.23198492634879,0.626853421634941
