"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,150,"raw",19.9943239096874,16.3338820745096,0.353778143832006,0.14671287445945,0.68215114138908
"sigmoid",1,150,"raw",19.9944100909304,16.3644899951988,0.356297959891651,0.151122664335142,0.686960863104768
"sigmoid",1,150,"raw",19.9947400837973,16.4862188531104,0.358457677032717,0.152850881724007,0.687671815537861
"sigmoid",1,150,"raw",19.9948318496423,16.5214285031915,0.36036880311476,0.153895562384212,0.694474929331404
"sigmoid",1,150,"raw",19.996080904603,17.07486143491,0.362319287319542,0.158523401847115,0.702492862743747
"sigmoid",1,150,"raw",19.9966761896213,17.4044190379348,0.364213525397399,0.161694597383237,0.703788571610326
"sigmoid",1,150,"raw",19.9970321476345,17.6310011338165,0.365978115795328,0.16931565824746,0.712450754784491
"sigmoid",1,150,"raw",19.9973136217985,17.8303186633873,0.367621361220903,0.172469932841809,0.72010179202747
"sigmoid",1,150,"raw",19.9974873682298,17.9640623903996,0.369332776432471,0.175884158720802,0.721420726660553
"sigmoid",1,150,"raw",19.9975009032559,17.9748664513389,0.370995636494041,0.181514561954844,0.727700807795726
"sigmoid",1,150,"raw",19.9975641580253,18.0261465521463,0.372757715927044,0.183352889124845,0.735185058300737
"sigmoid",1,150,"raw",19.9977746003992,18.2068795620373,0.374596372732846,0.185007167352193,0.744164109012009
"sigmoid",1,150,"raw",19.9981430753542,18.5689459978217,0.376805339969273,0.187194063051824,0.746709822756983
"sigmoid",1,150,"raw",19.9981544046035,18.5811866698485,0.378867051901387,0.198791284859457,0.750748032360229
"sigmoid",1,150,"raw",19.998359409364,18.816698397424,0.381265279132708,0.203627560438509,0.764079798949037
"sigmoid",1,150,"raw",19.9989441722304,19.6982193695636,0.384058083137092,0.205400855050091,0.774748310638222
"sigmoid",1,150,"raw",19.9989972931569,19.8014684595509,0.386897573797268,0.212024197795432,0.77903631908622
"sigmoid",1,150,"raw",19.999152208775,20.1371320650146,0.390191487733688,0.21321142645656,0.780819108063766
"sigmoid",1,150,"raw",19.9995139455157,21.2497956065236,0.393509949089329,0.215408315259934,0.786987104582929
"sigmoid",1,150,"raw",19.9995600352005,21.4490522207927,0.397400514512853,0.23077339129728,0.795538513214663
"sigmoid",1,150,"raw",19.9995802607941,21.5431765287348,0.401475416575163,0.233593322487039,0.796539884301322
"sigmoid",1,150,"raw",19.9995838298118,21.560255479895,0.406331633738955,0.234397758021845,0.798378563241611
"sigmoid",1,150,"raw",19.9996563429474,21.9431628567928,0.411228219843355,0.237506313619506,0.800574280536704
"sigmoid",1,150,"raw",19.9997799082979,22.8343750793309,0.416875257055068,0.248353980154293,0.809795516488893
"sigmoid",1,150,"raw",19.999780487895,22.8396489535581,0.423319083611678,0.255045794835381,0.828337910536255
"sigmoid",1,150,"raw",19.9998319070298,23.3734344132313,0.429818018658158,0.269620673044166,0.842130926962046
"sigmoid",1,150,"raw",19.9998432268603,23.5128704047336,0.437748734632395,0.275018114082889,0.849594882134675
"sigmoid",1,150,"raw",19.9998603910543,23.744781163743,0.445785001784991,0.280685729288681,0.853120040564349
"sigmoid",1,150,"raw",19.9999042898412,24.4998272005944,0.454318638518517,0.288915677733457,0.859716258764982
"sigmoid",1,150,"raw",19.9999196145002,24.8488100057121,0.46309314843079,0.29620273690579,0.885534849647986
"sigmoid",1,150,"raw",19.999929912448,25.1229882463581,0.473109358305718,0.319652712695869,0.8899791048915
"sigmoid",1,150,"raw",19.9999307181497,25.1461127916392,0.484456389382127,0.324320104778931,0.907360472630696
"sigmoid",1,150,"raw",19.9999608023625,26.2852487910433,0.496932374788015,0.326836102285739,0.910686790533809
"sigmoid",1,150,"raw",19.9999649524349,26.5090698740512,0.508567696599795,0.330595953573157,0.912267405298804
"sigmoid",1,150,"raw",19.9999747830865,27.1674532576538,0.521959044941375,0.336048595451701,0.927595316201696
"sigmoid",1,150,"raw",19.9999751066503,27.193281796469,0.536379819169694,0.345030531743611,0.960177429287816
"sigmoid",1,150,"raw",19.9999908420243,29.1932344283032,0.551528109134895,0.353720634323164,0.976397595702977
"sigmoid",1,150,"raw",19.9999936701887,29.9319441846896,0.567185392869681,0.361579592421054,0.994083214163078
"sigmoid",1,150,"raw",19.9999957056628,30.7078908037685,0.584414557711292,0.372403502367177,1.01132233156015
"sigmoid",1,150,"raw",19.9999962513201,30.9796777789896,0.603579342517728,0.379396343861421,1.02527541816537
"sigmoid",1,150,"raw",19.9999964442778,31.0853689139825,0.623773393410967,0.394885726834276,1.03734473223192
"sigmoid",1,150,"raw",19.9999967188696,31.2461093501992,0.644913923079942,0.407173281358298,1.06694438711333
"sigmoid",1,150,"raw",19.9999988215385,33.2940659911079,0.66491360459798,0.418565263591647,1.08822291388383
