"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","Mu_mean","Sigma_mean"
"box_cox_sqrt",1,200,2300.20288401999,2300.21935793554,0.0606273085460533,0.309623826850748
"box_cox_sqrt",2,200,1562.61600803539,1562.63124074003,0.140029986754025,0.2998968160641
"box_cox_sqrt",3,200,1862.09023427793,1862.10607176041,0.0146861846718847,0.284360767967934
"box_cox_sqrt",4,200,1903.19044587496,1903.20626330528,0.0603257846428062,0.256789737112057
"box_cox_sqrt",5,200,2350.20996277504,2350.22610249353,-0.00219836810191697,0.29679179713112
"box_cox_sqrt",6,200,1870.71407325896,1870.73013312367,0.0373438674120135,0.280848601371489
"box_cox_sqrt",7,200,1574.36206981217,1574.37787596284,0.148673346231155,0.312454478975207
"box_cox_sqrt",8,200,1960.87957999471,1960.89580308376,0.017903576612066,0.287039439127816
"box_cox_sqrt",9,200,1537.42269074234,1537.43742471157,-0.0195646233343021,0.311455303088373
"box_cox_sqrt",10,200,1796.439586707,1796.45480082456,0.0563154669220976,0.291430212658888
"box_cox_sqrt",11,200,1711.42012930264,1711.43420513197,0.193216056052654,0.3669641755997
"box_cox_sqrt",12,200,1956.76734091717,1956.78251461456,0.0982289022801354,0.291211587310984
"box_cox_sqrt",13,200,2255.00142532397,2255.01762575273,-0.0777074942509588,0.324154371030686
"box_cox_sqrt",14,200,2593.46674471096,2593.48378155911,-0.00575742823647572,0.266938230246021
"box_cox_sqrt",15,200,2152.17151528333,2152.18740325884,-0.020174753012702,0.295768278389305
"box_cox_sqrt",16,200,1746.76206398912,1746.77883937814,0.124020820468861,0.327346909825741
"box_cox_sqrt",17,200,2685.56492358303,2685.58137632918,-0.0293280106053834,0.286949628417305
"box_cox_sqrt",18,200,1462.61969531541,1462.63501711163,0.113382438515661,0.303885928792003
"box_cox_sqrt",19,200,2658.78441428757,2658.80041561264,0.145773504240637,0.234660249729446
"box_cox_sqrt",20,200,2208.33387462863,2208.34733204377,0.109515604651446,0.302265768434845
"box_cox_sqrt",21,200,2723.19742384155,2723.21398918273,-0.0612070171064785,0.298433020399463
"box_cox_sqrt",22,200,1746.52388091167,1746.5379568513,0.193538445350833,0.336587163130739
"box_cox_sqrt",23,200,2517.46005344762,2517.47635779613,-0.000212630215591874,0.228321513227564
"box_cox_sqrt",24,200,1639.41769700177,1639.43455061954,0.00657423343094556,0.330945745004645
"box_cox_sqrt",25,200,2242.0704775461,2242.08682162602,-0.00531616956546936,0.29675571881859
"box_cox_sqrt",26,200,1797.55580162275,1797.57194516526,0.115983544452268,0.260696952575528
"box_cox_sqrt",27,200,1234.44487205518,1234.46081870387,0.0389939777150455,0.355256073452345
"box_cox_sqrt",28,200,1809.07653941074,1809.09141167521,0.128040721996563,0.293494988832945
"box_cox_sqrt",29,200,2298.50994499781,2298.52478038122,0.0524850332579238,0.289137914208703
"box_cox_sqrt",30,200,1911.43397136845,1911.44900592457,0.0524280093055889,0.308746613841223
"box_cox_sqrt",31,200,1397.23113600499,1397.24675139077,0.0651308847902792,0.321228865260982
"box_cox_sqrt",32,200,2766.87520488291,2766.8897434333,0.0605896191198977,0.31385933332075
"box_cox_sqrt",33,200,1952.72868506934,1952.74564252032,0.0263352251526916,0.246894203245375
"box_cox_sqrt",34,200,1972.64034456348,1972.6549021639,0.0719092909774095,0.292310332323819
"box_cox_sqrt",35,200,1842.69062940064,1842.70591180826,0.0375806728124455,0.301102956540284
"box_cox_sqrt",36,200,2138.75047438824,2138.76756349539,-0.0711819061397803,0.279952287570598
"box_cox_sqrt",37,200,1686.96899483803,1686.98608144818,0.098065935837608,0.262239616347299
"box_cox_sqrt",38,200,3301.5153970912,3301.53217391753,0.0350598961666063,0.26364280349698
"box_cox_sqrt",39,200,2235.66862295058,2235.68573378055,-0.00276618854520223,0.30644804744399
"box_cox_sqrt",40,200,1782.15437161698,1782.17062227507,-0.0849533635431534,0.31741102035424
"box_cox_sqrt",41,200,1312.28568814461,1312.3013137613,-0.017381371874309,0.276947610804733
"box_cox_sqrt",42,200,1778.64825374254,1778.6645898306,-0.00695277891074365,0.297562903424628
"box_cox_sqrt",43,200,1463.50100561982,1463.51681648776,0.0180998537710814,0.381093523763213
"box_cox_sqrt",44,200,2355.54180290399,2355.55633576625,0.113683545960783,0.280213154062749
"box_cox_sqrt",45,200,1637.13912034903,1637.15571952102,0.123755345414859,0.272315770331133
"box_cox_sqrt",46,200,2236.05159816404,2236.06733402373,0.0278866535957092,0.285202794208593
"box_cox_sqrt",47,200,2046.02052855732,2046.0369542826,0.0794721503232805,0.261165752680902
"box_cox_sqrt",48,200,1495.67862247273,1495.69465637394,0.0700326104669458,0.313725243331694
"box_cox_sqrt",49,200,1605.98103658355,1605.99776143542,0.0790186212857808,0.3276509305316
"box_cox_sqrt",50,200,1145.10765329859,1145.12497057901,0.260113039953718,0.283035288339952
"box_cox_sqrt",51,200,1781.3326166006,1781.34882501731,0.102884783770964,0.292077038446939
"box_cox_sqrt",52,200,1981.24192209795,1981.25727463091,-0.0048812570368673,0.300223151202513
"box_cox_sqrt",53,200,1824.81058708959,1824.82612935222,0.186545278568601,0.340384691746302
"box_cox_sqrt",54,200,1402.93890234503,1402.95463592943,0.0790883390295813,0.33933393711543
"box_cox_sqrt",55,200,2239.75733952867,2239.7734188193,0.0188315083796306,0.272456852595045
"box_cox_sqrt",56,200,2209.5816744522,2209.59872213707,-0.0198982527073549,0.29448511579387
"box_cox_sqrt",57,200,1634.64399194141,1634.66041974707,0.167335017516544,0.298701857497179
"box_cox_sqrt",58,200,2113.52049829885,2113.53499579694,0.0856941982822605,0.244421930816674
"box_cox_sqrt",59,200,1715.65106246639,1715.66729736273,-0.00909692487304177,0.288495240677008
"box_cox_sqrt",60,200,2207.33561065809,2207.35189507559,0.0157293777695261,0.301309784753117
"box_cox_sqrt",61,200,1269.33668471563,1269.35280891461,0.0891375691192591,0.323726664274635
"box_cox_sqrt",62,200,1869.60060751833,1869.61580908595,0.154542081629154,0.317523251179007
"box_cox_sqrt",63,200,2186.3693962962,2186.38525391497,-0.0371014858025614,0.324619175537282
"box_cox_sqrt",64,200,1571.48883302613,1571.50437168232,0.109844234116306,0.337146380590244
"box_cox_sqrt",65,200,1038.71210607427,1038.7277962711,0.0675051736717532,0.368598492057113
"box_cox_sqrt",66,200,1831.95271385317,1831.96904907351,0.00419675571425511,0.282393816979472
"box_cox_sqrt",67,200,1858.49641117263,1858.5143810164,0.0756984286558092,0.280057672494267
"box_cox_sqrt",68,200,1903.10193993539,1903.11842494399,0.0926089751032052,0.286464449514749
"box_cox_sqrt",69,200,1770.7925437818,1770.8080346326,0.180672983708652,0.307365720814836
"box_cox_sqrt",70,200,1397.28205605945,1397.29873992376,0.0891683656562045,0.317974105606481
"box_cox_sqrt",71,200,2296.19527451798,2296.21050604237,0.00780272580328675,0.276540245734848
"box_cox_sqrt",72,200,1730.87755737167,1730.89337519161,-0.0917722174469022,0.275083659264749
"box_cox_sqrt",73,200,1899.02964685565,1899.04710996588,0.0395725008328281,0.30437460982686
"box_cox_sqrt",74,200,2096.50113267035,2096.5167836491,0.0557599026158415,0.302478445557909
"box_cox_sqrt",75,200,1825.86249287836,1825.87733652044,0.0195969427136179,0.282692568128538
"box_cox_sqrt",76,200,1720.33492674838,1720.35040987408,0.11721638807693,0.316453817596823
"box_cox_sqrt",77,200,1319.35986474206,1319.37406042727,0.0707127654743546,0.347325197938398
"box_cox_sqrt",78,200,2050.06658773689,2050.08279990038,0.102451401511498,0.257937818274599
"box_cox_sqrt",79,200,1807.83879326406,1807.85612893901,0.119945767459344,0.320950660324784
"box_cox_sqrt",80,200,1566.81031398221,1566.82467505863,0.0980054327724789,0.289854297931546
"box_cox_sqrt",81,200,2642.22503726115,2642.2408087963,0.0447645075216222,0.253594839523435
"box_cox_sqrt",82,200,1413.6793539012,1413.69569620886,0.176107403712545,0.336738501623806
"box_cox_sqrt",83,200,1923.61539083645,1923.63194000553,0.0698911844861032,0.289664237391158
"box_cox_sqrt",84,200,2587.14496614083,2587.16207054122,0.0313800742370712,0.297913134215546
"box_cox_sqrt",85,200,1727.16786857427,1727.18305326522,0.0921940406746776,0.292248910113163
"box_cox_sqrt",86,200,2886.01265970672,2886.02843687732,0.129376577660301,0.298883650222952
"box_cox_sqrt",87,200,2096.24525207602,2096.26103160766,0.025498535524928,0.318991410507508
"box_cox_sqrt",88,200,1996.07569941466,1996.09382781126,0.0321385361084368,0.329624614693762
"box_cox_sqrt",89,200,1990.81800137526,1990.83344992175,0.0720248980858109,0.300290789459972
"box_cox_sqrt",90,200,1999.63569247768,1999.65412924349,0.0047798089338568,0.287782882493674
"box_cox_sqrt",91,200,1999.15586059778,1999.17149768782,0.0298305185337947,0.262416514354498
"box_cox_sqrt",92,200,1643.7147670808,1643.72989498843,0.0682946690088957,0.334844877684995
"box_cox_sqrt",93,200,1941.34424068926,1941.36175383123,0.22616233836514,0.275319910839499
"box_cox_sqrt",94,200,1690.80077097816,1690.81693726413,0.131893215303838,0.358931447025021
"box_cox_sqrt",95,200,1559.79910560135,1559.81475445155,-0.00883573243169721,0.294183334761369
"box_cox_sqrt",96,200,2090.03162362611,2090.04941392845,0.0120583440728668,0.289104383175932
"box_cox_sqrt",97,200,1806.59340472898,1806.61102468409,0.254173039586947,0.291170032899172
"box_cox_sqrt",98,200,1760.93269588712,1760.94827073172,0.212896226199897,0.305488299330877
"box_cox_sqrt",99,200,2551.88085383825,2551.89731538816,0.092795791389528,0.211536890856884
"box_cox_sqrt",100,200,1418.82438134621,1418.83917617009,-0.00771280844290775,0.299836797717954
