"x","ale","Scenario","Feature","Model"
-2.43369909167122,0.845971076688278,"Sigmoid","X1","sebart"
-1.25600593912032,0.439535055864108,"Sigmoid","X1","sebart"
-0.878168316082182,0.196318390160134,"Sigmoid","X1","sebart"
-0.672342553381966,0.228109150150792,"Sigmoid","X1","sebart"
-0.523840122847655,0.290069027418759,"Sigmoid","X1","sebart"
-0.372432796270848,0.271963918370279,"Sigmoid","X1","sebart"
-0.232443623353946,0.19039010295178,"Sigmoid","X1","sebart"
-0.108482912532366,0.125007562078315,"Sigmoid","X1","sebart"
0.0182748502395449,0.0713766967352614,"Sigmoid","X1","sebart"
0.108645091088079,0.0116798379272495,"Sigmoid","X1","sebart"
0.196091501564764,-0.0463588099653996,"Sigmoid","X1","sebart"
0.303588871728069,-0.140776390519119,"Sigmoid","X1","sebart"
0.414509175131318,-0.27086783665874,"Sigmoid","X1","sebart"
0.547200733738572,-0.357015665898467,"Sigmoid","X1","sebart"
0.734459654966149,-0.386843533354644,"Sigmoid","X1","sebart"
0.946251892712593,-0.338614422189572,"Sigmoid","X1","sebart"
1.15258024060452,-0.287060164021834,"Sigmoid","X1","sebart"
1.38355016592565,-0.180724721292378,"Sigmoid","X1","sebart"
1.75577593224596,-0.175118618822971,"Sigmoid","X1","sebart"
2.59266321873377,-0.429808285144631,"Sigmoid","X1","sebart"
-2.43369909167122,0.554686023465218,"Sigmoid","X1","bart"
-1.25600593912032,0.262268211049773,"Sigmoid","X1","bart"
-0.878168316082182,0.0902029471087446,"Sigmoid","X1","bart"
-0.672342553381966,0.0531068245513299,"Sigmoid","X1","bart"
-0.523840122847655,0.058966498715295,"Sigmoid","X1","bart"
-0.372432796270848,0.0696831706553719,"Sigmoid","X1","bart"
-0.232443623353946,0.0519576779644071,"Sigmoid","X1","bart"
-0.108482912532366,0.0164783146791589,"Sigmoid","X1","bart"
0.0182748502395449,0.00730694087757172,"Sigmoid","X1","bart"
0.108645091088079,0.00678471731319558,"Sigmoid","X1","bart"
0.196091501564764,0.00732404215864152,"Sigmoid","X1","bart"
0.303588871728069,0.00602660672702054,"Sigmoid","X1","bart"
0.414509175131318,0.00757903860137743,"Sigmoid","X1","bart"
0.547200733738572,-0.00198013665712032,"Sigmoid","X1","bart"
0.734459654966149,-0.0176206909779262,"Sigmoid","X1","bart"
0.946251892712593,-0.0686911516363871,"Sigmoid","X1","bart"
1.15258024060452,-0.154005320066355,"Sigmoid","X1","bart"
1.38355016592565,-0.21457329080999,"Sigmoid","X1","bart"
1.75577593224596,-0.297593365897386,"Sigmoid","X1","bart"
2.59266321873377,-0.390806707503798,"Sigmoid","X1","bart"
-2.28489619670749,0.834353954405707,"Sigmoid","X2","sebart"
-1.54058154720162,0.414142821151222,"Sigmoid","X2","sebart"
-1.27668242255551,-0.0983895294575668,"Sigmoid","X2","sebart"
-1.10103331453181,-0.138756824843466,"Sigmoid","X2","sebart"
-0.964284352084597,-0.0750718710107281,"Sigmoid","X2","sebart"
-0.79989770769451,0.0413148117277759,"Sigmoid","X2","sebart"
-0.654890888240096,0.126273944083225,"Sigmoid","X2","sebart"
-0.496741981847886,0.074619857175986,"Sigmoid","X2","sebart"
