"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"bart",7.73501682145541,34.5064389055899,26.7921665472446,1.07199999999997,0.84,21.412624873614,0.838,21.1247118839654,0.924,27.4787040700674,0.921,27.1667081508484,0.96,32.6938292404374,0.962,32.3295606724427,"identity",13,200
"bart_bc",22.7251159558777,29.9357109707655,26.0332326404465,2.43099999999998,0.808,62.7616509439027,0.716,50.95546947563,0.911,85.6263943817043,0.901,72.2621371881311,0.958,108.868242672369,0.97,94.208668766489,"identity",13,200
"sblm",27.5346292870389,24.7068425867471,21.7903649806132,2.251,0.823,63.8166480186403,0.801,55.0590470925887,0.908,86.5045288311878,0.881,76.2379021768311,0.953,108.149854425203,0.935,97.0758795890631,"identity",13,200
"sebart",12.7912316392725,30.4142007467457,25.2366610527454,4.52599999999998,0.822,41.6709296052816,0.757,35.6899290841994,0.909,53.4651289636983,0.885,48.1581413303768,0.958,63.9231419304801,0.945,59.1994152131036,"identity",14,200
"bart",8.91080105799508,32.7550901524632,25.3124802001893,1.096,0.814,22.9083168612976,0.814,22.5734697915899,0.902,29.4776253091861,0.9,29.0959154563051,0.957,35.127523076169,0.96,34.7099450038805,"identity",14,200
"bart_bc",19.6327674342321,29.865764728547,24.8541955347392,2.46699999999998,0.78,54.339549769261,0.704,45.7544453705489,0.887,73.2699390365226,0.863,63.5857753294781,0.94,91.7683980182909,0.943,81.3887339925924,"identity",14,200
"sblm",24.316476188293,25.008808603384,21.45489413939,2.21000000000001,0.819,63.3674634005161,0.814,54.5138598599166,0.898,85.0903713411,0.889,75.5206446021177,0.938,105.837272844608,0.93,95.8630062545352,"identity",14,200
"sebart",16.2688501058606,29.7510476154142,26.2781464192368,4.553,0.796,38.8071838945191,0.733,33.7572452827367,0.86,50.4546917675996,0.843,45.3162549790548,0.904,60.457183892776,0.9,55.9216307877562,"identity",15,200
"bart",9.28537795558157,33.2716397119569,26.3884961588536,1.09799999999998,0.819,21.0565723795394,0.809,20.7956500882979,0.924,27.0368642219658,0.919,26.7449045329173,0.962,32.1802310995095,0.957,31.8294721494146,"identity",15,200
"bart_bc",21.5108856330842,29.1328241591388,25.9570579889748,2.41300000000001,0.744,52.4436713550936,0.657,44.1444520151425,0.831,70.1964775985493,0.8,60.7899604038439,0.883,87.6844171517909,0.884,77.2592380040726,"identity",15,200
"sblm",27.7126849264767,24.5837221756791,21.8375913326294,2.28699999999998,0.793,62.5776483705009,0.79,53.7505855645342,0.885,83.5775511363778,0.879,73.6968677837747,0.919,102.646110912982,0.914,92.5607683897658,"identity",15,200
"sebart",14.3903568779654,29.0353235370628,24.7197059729117,4.55100000000002,0.813,40.0583556093465,0.754,33.7236401784164,0.883,50.9918579585779,0.855,45.7246603529778,0.917,60.0250895017488,0.909,55.5431398532213,"identity",16,200
"bart",10.0963882724694,31.6139140191467,24.9123807993094,1.07899999999998,0.806,21.0336109089593,0.791,20.7530288985904,0.905,27.0772413933204,0.895,26.7425755640491,0.949,32.284984311886,0.952,31.9439678463255,"identity",16,200
"bart_bc",19.5134245268425,29.4414848203174,24.9714756487379,2.447,0.78,52.3880544293669,0.687,44.6225923432577,0.874,70.3889245220242,0.85,61.4571553701316,0.925,87.8531233046266,0.93,78.2139959471465,"identity",16,200
"sblm",25.1300392580759,21.3062817335339,19.8479202358879,2.209,0.802,63.3411402475528,0.781,51.9828905175011,0.883,88.8184547011306,0.892,74.7657449997925,0.936,114.662916924314,0.934,99.3811554279361,"identity",16,200
"sebart",15.7624219182327,28.5607090394111,23.792308298174,4.489,0.874,42.8680804694935,0.796,36.8785000902623,0.93,56.1671032310024,0.909,50.0267093743884,0.957,67.1969328568545,0.956,61.9461658576207,"identity",17,200
"bart",8.73119518715407,30.4085187733554,23.4478664393192,1.054,0.877,25.5770951238417,0.864,25.2000533865307,0.952,33.0011005445461,0.947,32.5791026252622,0.979,39.4374436631668,0.98,38.9771046092962,"identity",17,200
"bart_bc",25.8584363724517,28.938907126676,23.806643022323,2.41799999999998,0.791,60.7997532810182,0.708,49.3880955266231,0.888,82.7905707166252,0.881,69.8591671951912,0.955,104.556727999681,0.968,90.9668305208817,"identity",17,200
"sblm",26.7910504110577,22.9160416353177,20.0227693549508,2.23500000000001,0.868,69.0986094584395,0.862,59.733673280282,0.925,92.2360485693913,0.916,81.6960874221417,0.951,116.341649640682,0.939,102.287163834874,"identity",17,200
"sebart",16.8775087604267,28.8851649592343,24.3546920151501,4.53700000000001,0.832,38.482284793745,0.788,33.5107867427669,0.899,49.2190685629201,0.889,44.6573437392309,0.927,57.9783886104113,0.934,53.9269324897579,"identity",18,200
"bart",11.3720620689996,32.5454832870074,25.4100404084572,1.09899999999999,0.799,18.4794809719871,0.789,18.2436744570614,0.885,23.7371797239158,0.886,23.4657227034977,0.934,28.2318800649516,0.933,27.9423233272803,"identity",18,200
"bart_bc",22.2530437585577,28.8434632710177,24.8921625879072,2.43799999999999,0.763,48.4504567390613,0.671,41.0911333943882,0.867,65.1553562111896,0.834,56.8240605323647,0.916,81.5810256886014,0.914,72.5769094122879,"identity",18,200
"sblm",28.3553489213116,23.9137229965501,21.394168830188,2.273,0.789,58.0209981051938,0.791,50.8275752962129,0.887,76.6357495463978,0.882,69.1938799362392,0.936,93.3552426947099,0.919,86.1381101209098,"identity",18,200
"sebart",13.6346434860599,30.3768749177501,24.7214153367954,4.51899999999998,0.838,43.354030742328,0.758,35.9241505627954,0.892,55.4080394489252,0.885,49.4481943023772,0.923,65.2836538729541,0.928,60.4939259381146,"identity",19,200
