"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"sigmoid",37,150,-34.7997951930681,236.84574856031
"sigmoid",38,150,-40.9544811300918,303.012260796637
"sigmoid",39,150,-34.3149966818647,223.256330239913
"sigmoid",40,150,-37.7418624824596,259.191669169256
"sigmoid",41,150,-47.251063410409,281.095572219681
"sigmoid",42,150,-33.6814572634926,300.423793490937
"sigmoid",43,150,-48.5300853221591,302.614244035868
"sigmoid",44,150,-32.8921803084987,255.163763199671
"sigmoid",45,150,-33.0558488104189,298.02391148186
"sigmoid",46,150,-37.7082936731131,289.677792111597
"sigmoid",47,150,-43.4050140415665,222.5193851817
"sigmoid",48,150,-35.3736230924159,232.478876271006
"sigmoid",49,150,-32.5430980180985,407.167103212987
"sigmoid",50,150,-32.98385641522,279.790760620857
"sigmoid",51,150,-37.1331528945952,247.418810425252
"sigmoid",52,150,-47.3791282132307,254.933794004766
"sigmoid",53,150,-34.8165033919366,343.782035913376
"sigmoid",54,150,-39.8726344517115,274.084513091806
"sigmoid",55,150,-28.6157307040191,394.493832391698
"sigmoid",56,150,-47.980121456364,324.887464505661
"sigmoid",57,150,-37.3638417771602,230.080414105284
"sigmoid",58,150,-36.9979926179923,308.923389734406
"sigmoid",59,150,-38.9323278752837,268.802056069636
"sigmoid",60,150,-38.4502959314724,259.080826623398
"sigmoid",61,150,-35.9459009413519,261.536698680704
"sigmoid",62,150,-38.5098690238564,275.962649252095
"sigmoid",63,150,-30.9624200106588,281.242959426006
"sigmoid",64,150,-26.3531149455604,217.83524851425
"sigmoid",65,150,-36.9805211906742,339.935404646738
"sigmoid",66,150,-38.4791025225719,461.666387943275
"sigmoid",67,150,-54.4387434771837,249.957699049307
"sigmoid",68,150,-41.1255020928239,277.689030790801
"sigmoid",69,150,-36.0359853249515,247.870422294676
"sigmoid",70,150,-43.7003440743802,272.825862881171
"sigmoid",71,150,-39.1051727604545,240.719262340516
"sigmoid",72,150,-35.5405491992863,265.746128650828
"sigmoid",73,150,-33.8256945937701,277.275731721128
"sigmoid",74,150,-30.4013209355461,256.592033751756
"sigmoid",75,150,-40.0186065493442,209.213471767864
"sigmoid",76,150,-37.2600181958255,437.54795769181
"sigmoid",77,150,-36.7082913461386,280.15986117287
"sigmoid",78,150,-37.9339654693436,227.48327182779
"sigmoid",79,150,-38.0438178062999,295.352689213836
"sigmoid",80,150,-34.5536840432733,269.406723413523
"sigmoid",81,150,-45.8094145344412,276.012954590726
"sigmoid",82,150,-36.1452529767389,294.543442937217
"sigmoid",83,150,-34.1373145455678,324.745563644044
"sigmoid",84,150,-32.6600234746518,333.661063384499
"sigmoid",85,150,-40.4669424240315,306.383209159378
"sigmoid",86,150,-38.2888873039959,302.037034815746
"sigmoid",87,150,-44.7761765632101,233.918400455177
"sigmoid",88,150,-41.1634346720471,231.421497200743
"sigmoid",89,150,-34.1726729957,241.839917357122
"sigmoid",90,150,-39.8458570491286,278.832381483662
"sigmoid",91,150,-40.7763641582723,274.309213898258
"sigmoid",92,150,-33.4703438115292,251.22284417207
"sigmoid",93,150,-35.0217815059245,267.270292547589
"sigmoid",94,150,-39.1703357337465,312.875982898555
"sigmoid",95,150,-35.7611905411161,309.349857299939
"sigmoid",96,150,-38.4450222648376,383.162157265888
"sigmoid",97,150,-60.4150013187575,354.266676258468
"sigmoid",98,150,-30.3899465820711,227.431574466827
"sigmoid",99,150,-34.3558182028736,265.647460710806
"sigmoid",100,150,-34.5282675019494,343.694689300212
"beta",1,150,-42.8019403639353,237.562641582488
"beta",2,150,-32.4303559821297,289.606887274408
"beta",3,150,-33.5887817707217,331.222112668572
"beta",4,150,-43.799722949379,225.803934715588
"beta",5,150,-31.5129737134411,316.4049494122
"beta",6,150,-31.5773148260747,267.908975914079
"beta",7,150,-39.8386837853687,248.530656337793
"beta",8,150,-39.772511570296,327.591731180136
"beta",9,150,-30.0903723764441,252.46617600941
"beta",10,150,-32.5223807627806,276.975320789123
"beta",11,150,-39.9457362410352,263.862174823237
"beta",12,150,-39.4473453384128,256.222165962554
"beta",13,150,-33.9245715070384,434.575363015416
"beta",14,150,-39.6359397669266,378.44152370302
"beta",15,150,-35.2485044981833,240.413638832763
"beta",16,150,-41.6789701638691,278.342622227682
"beta",17,150,-40.9295281319933,366.369740982303
"beta",18,150,-32.1873013148174,318.205446093493
"beta",19,150,-36.8721281129206,274.819958266906
"beta",20,150,-35.5465497965992,294.70171581583
"beta",21,150,-30.2421319040316,277.346495529262
"beta",22,150,-33.3218863566711,295.898451258735
"beta",23,150,-41.1843462205656,383.968347961305
"beta",24,150,-30.8878796312879,402.02091005393
"beta",25,150,-41.8328026805915,255.590980395298
"beta",26,150,-38.9855328580493,290.646491143309
"beta",27,150,-38.2165743142014,278.070378025631
"beta",28,150,-30.8998298554151,242.62378134149
"beta",29,150,-37.9846406422301,274.941968192353
"beta",30,150,-37.0989608651462,226.245029182625
"beta",31,150,-37.8105677862656,315.472704490942
"beta",32,150,-33.1805931249348,239.821850648709
"beta",33,150,-39.7596633472782,244.382117819851
"beta",34,150,-36.2533454642986,279.879264612037
"beta",35,150,-42.9093980266082,230.339260685245
"beta",36,150,-39.0635721861805,249.383462857524
"beta",37,150,-34.9503297229573,253.776527702412
"beta",38,150,-33.9131536004246,239.441029608308
"beta",39,150,-37.8205635865074,279.181161561075
"beta",40,150,-32.292339239689,224.618409615978
"beta",41,150,-30.0624575520863,240.68381561541
"beta",42,150,-30.9074697399751,307.111811340124
"beta",43,150,-35.2844974143298,337.572104970794
"beta",44,150,-38.39852098328,226.560140496603
"beta",45,150,-43.8282495764069,361.119187888385
"beta",46,150,-41.5010308665682,330.378162885327
"beta",47,150,-36.2928866937437,298.765221729849
"beta",48,150,-28.9972373013284,292.217749013144
"beta",49,150,-34.4357947230679,260.678406057364
"beta",50,150,-33.0736473727577,284.677855096438
"beta",51,150,-33.7338226953415,373.87316493936
"beta",52,150,-38.1042610876528,282.471589121093
"beta",53,150,-37.4119333570417,359.238949352871
"beta",54,150,-44.1287043679965,275.653140480185
"beta",55,150,-34.39373575996,266.73174358717
"beta",56,150,-32.9293130163697,309.474913893067
"beta",57,150,-34.281509978325,378.263914153108
"beta",58,150,-35.0571514913996,320.240487922258
"beta",59,150,-40.4220773815813,279.719189671565
"beta",60,150,-40.3343412053125,257.041892629312
"beta",61,150,-38.1125844693687,216.050022036237
"beta",62,150,-46.4910483265612,327.162709292495
"beta",63,150,-31.4988277028076,242.733970327287
"beta",64,150,-35.6266513675538,215.284368151462
"beta",65,150,-32.3434685261073,249.379009852803
"beta",66,150,-36.8822579253717,255.151801774779
