"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",14.3715011051745,26.7221604352381,22.252527546529,4.688,0.83,38.969574167,0.801,34.6286960013456,0.883,50.1855912711539,0.893,46.2146364231914,0.921,60.2167608678201,0.929,56.4135561492408,"identity",1,150
"bart",9.50187948157741,28.9686286296156,22.4231332495182,1.166,0.851,23.0426521950879,0.838,22.7649891805009,0.928,29.6010881753756,0.929,29.3003022290886,0.976,35.2814952726255,0.97,34.9317002608468,"identity",1,150
"bart_bc",24.5802303489675,25.5417014163271,21.7840869263878,2.506,0.773,67.1945009398721,0.713,51.0089485930944,0.839,93.3381050756657,0.857,75.1087609193,0.889,120.889766162459,0.921,101.016938809648,"identity",1,150
"sblm",28.9669444165871,20.4658681722312,18.8648473494011,2.03,0.806,67.5687411967877,0.805,57.4486499259837,0.9,93.6832076332836,0.907,81.8621136321413,0.945,117.861537618892,0.947,105.287513537657,"identity",1,150
"sebart",17.1201048824551,27.3989646505159,23.0093367203583,4.429,0.857,43.6664059259483,0.779,37.410633741964,0.906,55.5816173270147,0.893,49.9628989937286,0.933,65.120180660175,0.927,60.654559614456,"identity",2,150
"bart",9.65229685504963,30.3428349575174,23.77134898415,1.11,0.862,22.9065997417285,0.853,22.626425244717,0.931,29.4144879956411,0.925,29.0870871403312,0.962,34.9886222550295,0.963,34.6451558022288,"identity",2,150
"bart_bc",27.9514231416674,28.6209961397341,23.4816163584303,2.418,0.793,61.6423141377394,0.717,50.4375632619327,0.874,83.6915124987136,0.866,71.0539899299837,0.922,105.878458609694,0.928,92.1888481249832,"identity",2,150
"sblm",25.9080951955035,23.7222085688898,20.9091260579723,2.173,0.779,53.7898745318873,0.753,46.0418238097982,0.878,72.5809251176461,0.854,63.3879439439453,0.916,89.3970917190384,0.902,80.330222272836,"identity",2,150
"sebart",13.7955963803585,27.5073288831888,23.1154920302419,4.547,0.839,44.2769374437858,0.784,37.5455265675141,0.881,55.5899078398503,0.873,50.6319183748222,0.923,65.4939892733037,0.931,60.8541719918132,"identity",3,150
"bart",9.20312085522981,30.4391760748712,23.692717841937,1.073,0.9,26.3348603162716,0.887,26.0372112344354,0.962,33.9258274515583,0.957,33.5548938871358,0.98,40.47327463421,0.981,40.064552079182,"identity",3,150
"bart_bc",20.9064077292412,27.0252096325481,23.3064435269069,2.53,0.758,58.6224453081883,0.663,46.2327779267377,0.844,80.3691814935745,0.83,66.0765469205577,0.899,102.253836407558,0.913,86.9463550193664,"identity",3,150
"sblm",29.9564018066381,22.4478468868828,20.4133962433593,1.994,0.787,67.5078848251155,0.785,56.9612311707543,0.894,92.0146989849676,0.869,79.6237552732173,0.943,115.424778571141,0.937,102.49691021163,"identity",3,150
"sebart",18.1325809594368,28.819484626242,24.135122811487,4.348,0.851,49.6112057041511,0.812,41.9373654831716,0.907,63.8850878770575,0.885,56.3764097096296,0.934,75.54560104889,0.932,69.3320309172712,"identity",4,150
"bart",12.3758912499012,31.1772115565228,24.5155944844785,1.038,0.924,32.1215060229868,0.921,31.6976787600197,0.973,41.3659183229422,0.969,40.877177749647,0.988,49.2975848697875,0.985,48.7552010031229,"identity",4,150
"bart_bc",24.2594232255087,28.656159663476,24.8620358900221,2.332,0.828,60.7050359823464,0.761,49.4624771139287,0.897,82.9201343243127,0.893,70.0095861855815,0.939,105.397333284112,0.949,91.343619175225,"identity",4,150
"sblm",29.9050597971453,23.5436573831549,20.9014041937448,1.97600000000001,0.847,69.2686546506594,0.827,57.8517890463878,0.908,95.0907449269681,0.895,80.3024611902768,0.945,120.9388646912,0.932,103.934046416904,"identity",4,150
