"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","Mu_mean","Sigma_mean"
"almost_linear",1,50,3202.23968018493,3202.28904219059,-0.126153126821815,0.424185392038675
"polynomial",1,50,4537.42908419873,4537.50778803456,-0.035362884330156,0.292854375732962
"step",1,50,176.512397992753,176.577651686316,0.03175390562559,0.207673752813122
