"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"beta",1,200,5.16711192903916e-06,-0.638934465637311,-0.436920934116654,-0.684905515446536,-0.21797363293287
"beta",1,200,6.95422075001427e-06,-0.614886767988824,-0.412207722562022,-0.648191828380423,-0.195833401388987
"beta",1,200,7.0245717533015e-06,-0.614065669925755,-0.387758759259608,-0.623002144002895,-0.176210296081797
"beta",1,200,7.51333047197778e-06,-0.60856789914632,-0.362963085445389,-0.583752187947645,-0.15807983055694
"beta",1,200,9.3932469969103e-06,-0.590181577063016,-0.340491239063055,-0.556632198842057,-0.14014421128275
"beta",1,200,9.68145767046057e-06,-0.587677224941843,-0.318594076868036,-0.523140825292063,-0.130181704690568
"beta",1,200,1.2201958299938e-05,-0.56837331872834,-0.297723656741048,-0.508094345804749,-0.119319495466206
"beta",1,200,1.55299955003163e-05,-0.548002107465232,-0.277670274673934,-0.481422984631824,-0.101890326426578
"beta",1,200,1.62397384331601e-05,-0.544198766611114,-0.258536087732977,-0.450314507389204,-0.0899589139885106
"beta",1,200,1.72187716020109e-05,-0.539202758370535,-0.240581065649005,-0.42810811135291,-0.0792106132821383
"beta",1,200,1.73434134307419e-05,-0.538586104703093,-0.223393590214011,-0.412245866922745,-0.0656802273078328
"beta",1,200,1.84973146942171e-05,-0.533068386007448,-0.205961630743527,-0.387837082287531,-0.052593818625862
"beta",1,200,1.93612393745582e-05,-0.529146445941351,-0.189433007631896,-0.364299804188766,-0.0437636285040081
"beta",1,200,1.9522124613334e-05,-0.528434403716527,-0.174399541016678,-0.346981887893451,-0.0354826628560341
"beta",1,200,2.07826049821893e-05,-0.523040377162329,-0.158676276452657,-0.321780999230791,-0.0234967049632994
"beta",1,200,2.13322772038757e-05,-0.520784378396291,-0.14388436998012,-0.29967530428799,-0.016335209456825
"beta",1,200,2.16078811701031e-05,-0.519673827634523,-0.130498006277582,-0.282642854597937,-0.00667443346022058
"beta",1,200,2.23317386863074e-05,-0.516819562518731,-0.117391086584235,-0.265601417516568,-0.00122623926981703
"beta",1,200,2.32873068073577e-05,-0.513182634266075,-0.104846671085327,-0.247476376683789,0.00567722730109747
"beta",1,200,2.40717715606741e-05,-0.510300804978622,-0.0927735074396289,-0.228369255577456,0.0116690575853267
"beta",1,200,2.54007447007154e-05,-0.505615214571828,-0.0815717755806132,-0.210818089263964,0.018730685925235
"beta",1,200,2.65860605981715e-05,-0.501627458202214,-0.0709835620300827,-0.201554828604505,0.0231028404807892
"beta",1,200,3.28323970915748e-05,-0.483042192621449,-0.0606551277887621,-0.183796896526039,0.0283459829049963
"beta",1,200,3.43172999223536e-05,-0.479118141442148,-0.0501781733493967,-0.160871790171581,0.0336470944419562
"beta",1,200,3.85249609979263e-05,-0.468810692775619,-0.0407688631707092,-0.14725721376318,0.0370684247787198
"beta",1,200,4.35052710950179e-05,-0.457900795432902,-0.0320462495836328,-0.136104137416152,0.0402859186468641
"beta",1,200,4.90534856899493e-05,-0.447052926539313,-0.0242101780602868,-0.122263932702446,0.0454920750057864
"beta",1,200,5.18508331095546e-05,-0.442014479392694,-0.0165346224684046,-0.111748179009147,0.0488764668442168
"beta",1,200,5.38118508459063e-05,-0.438632585602141,-0.00936725554416792,-0.0994896816712971,0.0516068615075136
"beta",1,200,7.01494790775111e-05,-0.41425666985971,-0.00306088985104791,-0.0883715011022261,0.0539524232012387
"beta",1,200,7.09836510839655e-05,-0.413160628127124,0.00355060679789919,-0.077251629521067,0.0566453172664263
"beta",1,200,7.12599056310534e-05,-0.412800312434112,0.00981549993205632,-0.0681056895833172,0.0583898401895461
"beta",1,200,7.17398982182305e-05,-0.412177369007032,0.0155970852042318,-0.0574565248443234,0.0602807977506027
"beta",1,200,7.57318716420218e-05,-0.407142933266825,0.0206580876766522,-0.0477245694463484,0.061662125311169
"beta",1,200,7.94755869162714e-05,-0.402642840214256,0.025391274380651,-0.0374403872145539,0.0629302870132449
"beta",1,200,8.17984216561876e-05,-0.399949601456434,0.029666768485484,-0.0286860593013595,0.0638959556473808
"beta",1,200,8.28587426387319e-05,-0.39874395470066,0.0335454022791466,-0.0208310122866376,0.0645462645350852
"beta",1,200,9.37955777105345e-05,-0.387087884135181,0.0372376946050431,-0.0152174254076168,0.0652388829875208
"beta",1,200,0.000101918993087747,-0.379227480752596,0.0405895368843394,-0.0101467713024155,0.0656513712874215
"beta",1,200,0.000102747341508002,-0.378459212138885,0.043624921205232,-0.000209525636235974,0.0662637664849541
"beta",1,200,0.000107490335091488,-0.37416877095246,0.046406711621783,0.00548617513131686,0.0664932733462668
"beta",1,200,0.000120686124743375,-0.363102697003491,0.0490426753294065,0.00969960184883798,0.066765593378178
"beta",1,200,0.000160684462647443,-0.335382634211166,0.0514289261898003,0.0166660491975451,0.0670266604640849
"beta",1,200,0.000183043576535562,-0.32258940928686,0.053601521348764,0.0222540390539282,0.0670980233221221
"beta",1,200,0.000183766245313756,-0.322200717999119,0.0554797517238224,0.0273799019764188,0.0671529011049044
"beta",1,200,0.000185366429876679,-0.321345093344897,0.0571955595778016,0.0306423548085289,0.0671843499684047
"beta",1,200,0.00018640459824972,-0.320793653716782,0.0586316489707715,0.0353427314517712,0.0671880109421057
"beta",1,200,0.000186951178796219,-0.320504477448653,0.0599521575855554,0.0399477037926953,0.0671912828209052
"beta",1,200,0.000187901727165118,-0.320003446904128,0.0611478482385911,0.0426875486602112,0.0672150443699005
"beta",1,200,0.000192461110980448,-0.317632558790998,0.0622516617549748,0.046015422709589,0.0672949927171649
"beta",1,200,0.000196014626445572,-0.315820723684268,0.063061664053797,0.048741457588887,0.0673778346186936
"beta",1,200,0.000205013584395118,-0.311365725899417,0.0638294561675602,0.0508343637692929,0.0675426065115861
"beta",1,200,0.000213590612947127,-0.307285909702869,0.0644932524908144,0.0529844632092252,0.0677353857393573
"beta",1,200,0.000242396189873537,-0.294618552800958,0.0650495597606861,0.0555755574266599,0.0680259343824772
"beta",1,200,0.000294799476843014,-0.274796880795108,0.0655440908869524,0.0568261457479225,0.0685316572189102
"beta",1,200,0.000308102889588817,-0.270288210112903,0.0659957651692598,0.0587241360291846,0.0691540018632616
"beta",1,200,0.00030880499241823,-0.270055308843716,0.0664369692975536,0.0600692358054219,0.0698627950789399
"beta",1,200,0.000311893950524014,-0.269036439459374,0.0668111775121719,0.0613649018241549,0.0706592374604729
"beta",1,200,0.000362632198972795,-0.253516447878165,0.0671960806132461,0.0626775301462108,0.0717682493331955
"beta",1,200,0.000363067738077913,-0.25339216077792,0.0676084307226702,0.0637688288602815,0.0728646086092387
"beta",1,200,0.000429222161255682,-0.235951170373752,0.0680363443209784,0.0646891784172986,0.0742167799059172
"beta",1,200,0.000470131968816155,-0.22637259734381,0.0685138903782445,0.0654382406943264,0.07544436639395
"beta",1,200,0.000475892800945747,-0.22508613561581,0.0689843992856815,0.0658808105195032,0.0774527562658367
"beta",1,200,0.000502643345388,-0.219294714697971,0.0695382341141703,0.0663390119620485,0.0786536407978263
"beta",1,200,0.000579244564854699,-0.204159061912038,0.0702036254114322,0.0666837012326557,0.0814937657560664
"beta",1,200,0.000602548818300305,-0.199920284372945,0.0709368477574192,0.0668978207518368,0.0840122950567781
"beta",1,200,0.000638592060198654,-0.193652906955378,0.0717087969862779,0.0670583317782691,0.0864509339622125
"beta",1,200,0.000687983603133171,-0.185573679494222,0.072679240877651,0.0671325025118301,0.0895161889318383
"beta",1,200,0.00080356218075742,-0.168576488317585,0.0738244216852924,0.0671698890985371,0.0932503819420347
"beta",1,200,0.000922095932469454,-0.153334668214328,0.0750996578417111,0.067187534299161,0.097237393471947
"beta",1,200,0.00106319183723919,-0.137377357136354,0.0764975043745144,0.0671881715134496,0.101052016527328
"beta",1,200,0.00112542567412806,-0.130947920889391,0.0780442473985991,0.0671951672652983,0.106451859118215
"beta",1,200,0.00116399631566881,-0.127124471485871,0.0797462454083039,0.0672303285633677,0.111062922995449
"beta",1,200,0.00146612340246,-0.100638277083159,0.0818128060440838,0.0672811808269002,0.115402910428698
"beta",1,200,0.00147526540635176,-0.0999173345516314,0.0840961311118123,0.0674108764158071,0.12368059083367
"beta",1,200,0.00150661923698211,-0.0974752879894364,0.0863550153020524,0.0677399746980058,0.126280534418642
"beta",1,200,0.00179438574161386,-0.0769980026583986,0.0888573896050263,0.0678707733553861,0.133874439946106
"beta",1,200,0.00192114455094504,-0.068912328800338,0.0917509479105295,0.0682042237452909,0.137751491744038
"beta",1,200,0.00198758708252249,-0.0648656534487595,0.0949920187930926,0.0686895098244152,0.146974674949791
"beta",1,200,0.00207136551956494,-0.0599344656174604,0.0985559562624551,0.069268593635624,0.154494239842628
"beta",1,200,0.00233834686009442,-0.0453428807391835,0.102354016667073,0.0699447958164257,0.161582959965384
"beta",1,200,0.00237517835103943,-0.0434496300640583,0.106077766565822,0.0708415852924652,0.169786950985709
"beta",1,200,0.00242533366075878,-0.0409137307043972,0.110636916656538,0.0720373558238668,0.183839672699983
"beta",1,200,0.00245177880693521,-0.0395956643386102,0.11565388975445,0.0731054101278133,0.191618262254039
"beta",1,200,0.00254101838957962,-0.0352406787899585,0.121024161756081,0.0744619237566827,0.201263557836503
"beta",1,200,0.00263243144537433,-0.0309205460803047,0.126679350723703,0.0763194980934215,0.208646647443857
"beta",1,200,0.00270690802302492,-0.0274997826226097,0.132571698018353,0.0792022236258095,0.217381024372832
"beta",1,200,0.00278171439727267,-0.0241482890805561,0.139220443186812,0.0813061792368188,0.230072096219125
"beta",1,200,0.00321180629351627,-0.00632264805936,0.145877570229902,0.0829179745908958,0.242570018080735
"beta",1,200,0.00321747105534078,-0.00610256052297148,0.153609556964628,0.0860372655751252,0.255163888967581
"beta",1,200,0.00330935359182421,-0.00258053970098635,0.161214012496251,0.0897621859376236,0.2654734526883
"beta",1,200,0.00382989046788426,0.0158554759471446,0.169734020795399,0.0931565690178578,0.277699356824982
"beta",1,200,0.00383563073508205,0.0160459280907348,0.17874657035241,0.097062415430845,0.293342466508041
"beta",1,200,0.00504292498243835,0.0513556044270495,0.187942626594589,0.10089373043759,0.305849853118067
"beta",1,200,0.00507911958219611,0.0522923917712537,0.197974782990254,0.105591168566538,0.320729783222765
"beta",1,200,0.00594692897314252,0.0731434198564765,0.208809916988182,0.110008712842126,0.339236774945638
"beta",1,200,0.00678706143370333,0.0908985245693232,0.219352494875974,0.116754937217498,0.362379335980572
"beta",1,200,0.00683333630115324,0.0918188134441223,0.230342401253683,0.121618718555303,0.380006303073275
"beta",1,200,0.00755492042007411,0.10550010123948,0.242620521503104,0.126922207867852,0.392935306558344
"beta",1,200,0.00792481209697336,0.112071650105513,0.255337943945914,0.13205869751298,0.406936316361051
"beta",1,200,0.00810228109839071,0.115129175076326,0.269253706541446,0.138065668247438,0.429861411991834
"beta",1,200,0.00963648417924807,0.139355587865819,0.283769067447207,0.146800805850462,0.44912203617064
"beta",1,200,0.0140030468949346,0.193408636567153,0.298611346451937,0.155534186789806,0.468656044935622
"beta",1,200,0.0156007719296488,0.209543177566954,0.314343681300404,0.165952257710439,0.489983556936111
"beta",1,200,0.0160550407552437,0.213870103424382,0.330063486105378,0.177339265870705,0.513154524033518
"beta",1,200,0.0250214742107845,0.283115209774941,0.346843944783965,0.184606343536753,0.536226929287184
"beta",1,200,0.0266184454631687,0.293149546435544,0.363050975739261,0.199487282103926,0.552815474029856
"beta",1,200,0.0285955744000175,0.30489572534052,0.381867800530573,0.208106215615681,0.577012795394232
"beta",1,200,0.0290129784974745,0.307288317459176,0.401657524703083,0.222152974907731,0.605161137111326
"beta",1,200,0.0290903500156245,0.307728657537488,0.419913437731193,0.23198492634879,0.626853421634941
"beta",1,200,0.0291159030556732,0.307873871486964,0.441077181268544,0.253808028703284,0.656482359537051
"beta",1,200,0.0312596225868583,0.319694422672689,0.462621776863801,0.264791569583304,0.686661121445574
"beta",1,200,0.0363307314709876,0.345187308707218,0.484180433991693,0.2817462307244,0.706016443252241
"beta",1,200,0.0389339375448579,0.357151521767583,0.507546652240186,0.29149321473195,0.736696133830727
"beta",1,200,0.040039092928246,0.362033496115671,0.531297187655239,0.312189212252899,0.772903840089285
"beta",1,200,0.0415343463915013,0.368466678421655,0.553998733129427,0.32572290318035,0.805065744614168
"beta",1,200,0.0442251630064225,0.379583937721936,0.57902707608659,0.347042744283931,0.827062865795913
"beta",1,200,0.0460353043679046,0.386758173607332,0.604264977362501,0.368630149846845,0.866123781470366
"beta",1,200,0.0596178273455227,0.434397515423254,0.63110416785919,0.38878917158234,0.895033035805795
