"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"bart_bc",16.4032658072421,8.28580544136981,7.18333007200272,2.47800000000001,0.867,53.6540293299233,0.859,34.3310228967092,0.907,81.4669633688089,0.954,56.1329782272225,0.921,115.097097868656,0.974,83.5409382114897,"sigmoid",7,200
"sblm",6.75092970846018,4.45534567559189,4.06217165296684,2.34400000000001,0.791,12.2516745948376,0.755,8.1350725906684,0.887,15.236450427651,0.859,12.2939621483024,0.93,17.0964741952336,0.915,15.3085404637551,"sigmoid",7,200
"sebart",4.71502710935881,5.39020672004824,4.42543216105929,4.62899999999999,0.856,9.67671151346961,0.879,6.6779545089417,0.917,11.9117428671322,0.942,9.74220365094844,0.952,13.5366867116735,0.974,11.9759606024841,"sigmoid",8,200
"bart",5.87347604048969,5.67568474044247,5.37745846995821,1.17100000000001,0.334,5.15097503234966,0.335,5.09816687713933,0.424,6.6113764655994,0.419,6.55379400011805,0.501,7.87470631153146,0.501,7.80820019187663,"sigmoid",8,200
"bart_bc",12.5310518455964,8.1780032305221,7.04645290407457,2.404,0.848,41.8690507241017,0.814,29.9287949007904,0.9,59.580282358837,0.956,44.7620932894063,0.926,78.9556471976121,0.982,61.6462604232544,"sigmoid",8,200
"sblm",6.63469795413644,4.00826623009148,3.77141377974348,2.315,0.885,14.8273116187003,0.83,9.79235965228169,0.958,17.8283140906047,0.923,14.8790836604177,0.982,19.2310735124609,0.963,17.8881322805675,"sigmoid",8,200
"sebart",4.50158676672053,4.83075442990502,4.08405599239658,4.54600000000001,0.891,9.34440176446395,0.873,6.52706324317971,0.928,11.4535472591249,0.943,9.41928289423395,0.945,12.9340762088245,0.958,11.5069889632549,"sigmoid",9,200
"bart",5.58769251359533,5.23348795119716,4.84624140181723,1.221,0.41,4.93006258795505,0.408,4.87804558690838,0.506,6.3329772869156,0.5,6.27811151083971,0.561,7.55109035762143,0.568,7.48554788774159,"sigmoid",9,200
"bart_bc",12.4971618745458,7.79882862413784,6.74851200072889,2.407,0.84,43.8888755202867,0.82,31.1584828481254,0.889,63.4185929795804,0.917,47.1110630701507,0.92,85.0514474802397,0.952,65.8011980072879,"sigmoid",9,200
"sblm",6.4061944874547,3.77072660705702,3.58890740919767,2.28399999999999,0.861,11.9417265821793,0.769,7.09335400909712,0.931,15.3659927924003,0.898,11.9893541830569,0.959,17.5925056907696,0.939,15.4391360379764,"sigmoid",9,200
"sebart",4.9852308977242,5.85487001371563,4.62970426692094,4.53,0.824,9.2383759210419,0.78,6.49102863874408,0.907,11.2775169554342,0.894,9.30949738880264,0.937,12.8067296017576,0.944,11.3416002359149,"sigmoid",10,200
"bart",5.61204394044818,5.74577213768544,5.35609641209807,1.187,0.372,5.25404153381219,0.373,5.1986424245533,0.461,6.73976582170387,0.465,6.68135349475222,0.547,8.04282118177978,0.543,7.97369283637242,"sigmoid",10,200
"bart_bc",23.2621297965902,9.96901030055052,8.13185217346268,2.40899999999999,0.819,56.6520292999607,0.782,36.7137631298286,0.889,85.6937503761049,0.902,59.652440133156,0.918,121.024518124788,0.952,88.1487729772053,"sigmoid",10,200
"sblm",6.36963900562373,4.57931140915141,4.13294378667094,2.29499999999999,0.864,12.4694794658697,0.791,8.58598994249995,0.918,15.1228661033114,0.891,12.5138662401815,0.946,17.0851859657437,0.928,15.1727676094835,"sigmoid",10,200
"sebart",0.0986764653326499,0.18703886067826,0.136311661575197,4.52200000000002,0.88,0.186661769161662,0.836,0.128957137655058,0.935,0.245368202410396,0.944,0.189312410229848,0.952,0.296828483561348,0.973,0.247675094854444,"beta",1,200
"bart",0.111034838259206,0.205630662836141,0.139991676485228,1.131,0.817,0.124466513597202,0.816,0.123098910425346,0.861,0.159919526196224,0.86,0.158366766364965,0.888,0.190654122247562,0.881,0.188949053833805,"beta",1,200
